Phase  Observation
  -91.5000      0.3949
  -90.5000      0.4063
  -89.5000      0.4032
  -88.5000      0.4154
  -87.5000      0.4299
  -82.5000      0.3860
  -81.5000      0.3943
  -80.5000      0.4009
  -79.5000      0.3962
  -78.5000      0.4082
  -77.5000      0.4154
  -69.5000      0.3711
  -68.5000      0.3834
  -67.5000      0.3852
  -66.5000      0.3788
  -65.5000      0.3928
  -64.5000      0.4021
  -56.5000      0.3722
  -55.5000      0.3693
  -53.5000      0.3698
  -52.5000      0.3724
  -51.5000      0.3809
  -50.5000      0.3744
  -49.5000      0.3746
  -48.5000      0.3773
  -47.5000      0.3888
  -46.5000      0.3995
  -45.5000      0.4013
  -41.5000      0.3689
  -40.5000      0.3749
  -36.5000      0.3681
  -35.5000      0.3729
  -34.5000      0.3739
  -33.5000      0.3805
  -32.5000      0.3821
  -31.5000      0.3767
  -30.5000      0.3847
  -29.5000      0.3746
  -28.5000      0.3780
  -27.5000      0.3937
  -26.5000      0.3922
  -25.5000      0.3968
  -23.5000      0.4029
  -22.5000      0.3961
  -18.5000      0.4047
   15.5000      0.4489
   16.5000      0.4395
   17.5000      0.4564
   19.5000      0.4461
   20.5000      0.4310
   21.5000      0.4330
   22.5000      0.4315
   23.5000      0.4153
   24.5000      0.4141
   25.5000      0.4180
   26.5000      0.4123
   27.5000      0.4300
   28.5000      0.4201
   29.5000      0.4101
   30.5000      0.4259
   31.5000      0.4080
   32.5000      0.4239
   33.5000      0.4345
   34.5000      0.4306
   35.5000      0.4269
   36.5000      0.4244
   37.5000      0.4355
   38.5000      0.4214
   39.5000      0.4210
   41.5000      0.4286
   42.5000      0.4244
   43.5000      0.4207
   44.5000      0.4454
   45.5000      0.4389
   46.5000      0.4340
   47.5000      0.4343
   48.5000      0.4384
   51.5000      0.4352
   52.5000      0.4546
   54.5000      0.4510
   55.5000      0.4469
   56.5000      0.4464
   57.5000      0.4367
   59.5000      0.4555
