Phase  Observation
 -104.5000      0.2083
 -103.5000      0.2060
 -101.5000      0.2023
 -100.5000      0.2056
  -95.5000      0.2043
  -94.5000      0.2042
  -93.5000      0.2031
  -92.5000      0.2008
  -90.5000      0.2000
  -82.5000      0.2066
  -81.5000      0.2072
  -80.5000      0.2116
  -79.5000      0.2080
  -78.5000      0.2106
  -77.5000      0.2081
  -76.5000      0.2085
  -75.5000      0.2100
  -66.5000      0.2336
  -63.5000      0.2275
  -62.5000      0.2322
  -61.5000      0.2277
  -60.5000      0.2281
  -59.5000      0.2322
  -58.5000      0.2324
  -57.5000      0.2323
  -45.5000      0.2641
  -41.5000      0.2658
  -40.5000      0.2699
  -39.5000      0.2748
  -38.5000      0.2772
  -37.5000      0.2758
  -36.5000      0.2763
  -35.5000      0.2802
  -33.5000      0.2834
  -32.5000      0.2849
  -25.5000      0.3351
  -24.5000      0.3392
  -23.5000      0.3396
  -22.5000      0.3398
  -21.5000      0.3439
  -20.5000      0.3506
  -19.5000      0.3545
  -18.5000      0.3534
  -17.5000      0.3587
  -16.5000      0.3685
  -15.5000      0.3715
  -14.5000      0.3826
  -13.5000      0.3833
  -12.5000      0.3888
  -11.5000      0.3907
  -10.5000      0.3953
   15.5000      0.3975
   16.5000      0.3926
   17.5000      0.3873
   18.5000      0.3888
   19.5000      0.3795
   20.5000      0.3713
   21.5000      0.3737
   22.5000      0.3643
   23.5000      0.3613
   24.5000      0.3626
   25.5000      0.3570
   26.5000      0.3547
   27.5000      0.3584
   28.5000      0.3643
   29.5000      0.3610
   30.5000      0.3626
   31.5000      0.3570
   32.5000      0.3542
   33.5000      0.3541
   34.5000      0.3507
   37.5000      0.3507
   38.5000      0.3484
   39.5000      0.3461
   40.5000      0.3431
   41.5000      0.3446
   42.5000      0.3335
