Phase  EBF_Simu  CROP_Simu
 -100.0000      0.1997      0.4154
  -99.0000      0.2010      0.4125
  -98.0000      0.2022      0.4098
  -97.0000      0.2033      0.4071
  -96.0000      0.2042      0.4046
  -95.0000      0.2051      0.4022
  -94.0000      0.2059      0.3999
  -93.0000      0.2067      0.3977
  -92.0000      0.2074      0.3956
  -91.0000      0.2080      0.3936
  -90.0000      0.2087      0.3918
  -89.0000      0.2093      0.3900
  -88.0000      0.2099      0.3883
  -87.0000      0.2105      0.3868
  -86.0000      0.2111      0.3853
  -85.0000      0.2117      0.3840
  -84.0000      0.2124      0.3827
  -83.0000      0.2130      0.3815
  -82.0000      0.2136      0.3804
  -81.0000      0.2142      0.3794
  -80.0000      0.2149      0.3785
  -79.0000      0.2156      0.3776
  -78.0000      0.2163      0.3769
  -77.0000      0.2170      0.3762
  -76.0000      0.2177      0.3756
  -75.0000      0.2185      0.3750
  -74.0000      0.2192      0.3746
  -73.0000      0.2200      0.3742
  -72.0000      0.2208      0.3738
  -71.0000      0.2217      0.3736
  -70.0000      0.2225      0.3734
  -69.0000      0.2234      0.3732
  -68.0000      0.2244      0.3732
  -67.0000      0.2253      0.3731
  -66.0000      0.2263      0.3732
  -65.0000      0.2272      0.3733
  -64.0000      0.2283      0.3734
  -63.0000      0.2293      0.3736
  -62.0000      0.2303      0.3739
  -61.0000      0.2314      0.3742
  -60.0000      0.2325      0.3745
  -59.0000      0.2338      0.3749
  -58.0000      0.2352      0.3754
  -57.0000      0.2367      0.3759
  -56.0000      0.2383      0.3765
  -55.0000      0.2400      0.3771
  -54.0000      0.2417      0.3778
  -53.0000      0.2436      0.3785
  -52.0000      0.2455      0.3792
  -51.0000      0.2474      0.3800
  -50.0000      0.2494      0.3808
  -49.0000      0.2515      0.3817
  -48.0000      0.2536      0.3826
  -47.0000      0.2557      0.3835
  -46.0000      0.2579      0.3845
  -45.0000      0.2602      0.3855
  -44.0000      0.2625      0.3865
  -43.0000      0.2648      0.3875
  -42.0000      0.2672      0.3886
  -41.0000      0.2697      0.3897
  -40.0000      0.2721      0.3909
  -39.0000      0.2747      0.3920
  -38.0000      0.2772      0.3932
  -37.0000      0.2798      0.3944
  -36.0000      0.2825      0.3956
  -35.0000      0.2852      0.3969
  -34.0000      0.2880      0.3982
  -33.0000      0.2907      0.3994
  -32.0000      0.2936      0.4007
  -31.0000      0.2965      0.4021
  -30.0000      0.2994      0.4034
  -29.0000      0.3023      0.4048
  -28.0000      0.3054      0.4061
  -27.0000      0.3084      0.4075
  -26.0000      0.3115      0.4089
  -25.0000      0.3146      0.4103
  -24.0000      0.3178      0.4118
  -23.0000      0.3211      0.4132
  -22.0000      0.3244      0.4146
  -21.0000      0.3277      0.4161
  -20.0000      0.3311      0.4176
  -19.0000      0.3346      0.4190
  -18.0000      0.3382      0.4205
  -17.0000      0.3419      0.4219
  -16.0000      0.3457      0.4234
  -15.0000      0.3496      0.4249
  -14.0000      0.3538      0.4264
  -13.0000      0.3582      0.4278
  -12.0000      0.3629      0.4293
  -11.0000      0.3680      0.4308
  -10.0000      0.3737      0.4323
   -9.0000      0.3801      0.4339
   -8.0000      0.3874      0.4355
   -7.0000      0.3960      0.4372
   -6.0000      0.4063      0.4390
   -5.0000      0.4189      0.4412
   -4.0000      0.4346      0.4438
   -3.0000      0.4544      0.4472
   -2.0000      0.4797      0.4519
   -1.0000      0.5124      0.4587
    0.0000      0.5553      0.4692
    1.0000      0.5180      0.4611
    2.0000      0.4900      0.4566
    3.0000      0.4689      0.4541
    4.0000      0.4529      0.4530
    5.0000      0.4409      0.4526
    6.0000      0.4317      0.4527
    7.0000      0.4246      0.4530
    8.0000      0.4192      0.4535
    9.0000      0.4150      0.4541
   10.0000      0.4116      0.4548
   11.0000      0.4089      0.4555
   12.0000      0.4067      0.4562
   13.0000      0.4048      0.4569
   14.0000      0.4031      0.4576
   15.0000      0.4016      0.4583
   16.0000      0.4003      0.4590
   17.0000      0.3990      0.4597
   18.0000      0.3977      0.4604
   19.0000      0.3965      0.4611
   20.0000      0.3953      0.4617
   21.0000      0.3941      0.4624
   22.0000      0.3929      0.4631
   23.0000      0.3917      0.4638
   24.0000      0.3904      0.4646
   25.0000      0.3892      0.4653
   26.0000      0.3879      0.4660
   27.0000      0.3867      0.4668
   28.0000      0.3854      0.4675
   29.0000      0.3842      0.4683
   30.0000      0.3831      0.4691
   31.0000      0.3821      0.4700
   32.0000      0.3814      0.4708
   33.0000      0.3809      0.4717
   34.0000      0.3809      0.4726
   35.0000      0.3823      0.4736
   36.0000      0.3843      0.4746
   37.0000      0.3864      0.4757
   38.0000      0.3886      0.4769
   39.0000      0.3908      0.4781
   40.0000      0.3931      0.4795
