Phase  Observation
  -91.5000      0.6655
  -90.5000      0.6819
  -89.5000      0.6801
  -88.5000      0.6951
  -87.5000      0.7131
  -82.5000      0.6544
  -81.5000      0.6627
  -80.5000      0.6735
  -79.5000      0.6695
  -78.5000      0.6864
  -77.5000      0.6954
  -70.5000      0.6303
  -69.5000      0.6326
  -68.5000      0.6456
  -67.5000      0.6504
  -66.5000      0.6432
  -65.5000      0.6623
  -64.5000      0.6772
  -56.5000      0.6273
  -55.5000      0.6268
  -53.5000      0.6255
  -52.5000      0.6274
  -51.5000      0.6394
  -50.5000      0.6322
  -49.5000      0.6336
  -48.5000      0.6371
  -47.5000      0.6531
  -46.5000      0.6712
  -40.5000      0.6363
  -37.5000      0.6216
  -36.5000      0.6212
  -35.5000      0.6250
  -34.5000      0.6257
  -33.5000      0.6371
  -32.5000      0.6411
  -31.5000      0.6345
  -30.5000      0.6484
  -29.5000      0.6317
  -28.5000      0.6344
  -27.5000      0.6577
  -26.5000      0.6543
  -25.5000      0.6630
  -23.5000      0.6770
  -22.5000      0.6672
  -18.5000      0.6721
   15.5000      0.7220
   16.5000      0.7088
   19.5000      0.7193
   20.5000      0.6977
   21.5000      0.7011
   22.5000      0.7003
   23.5000      0.6765
   24.5000      0.6772
   25.5000      0.6841
   26.5000      0.6740
   27.5000      0.6965
   28.5000      0.6829
   29.5000      0.6671
   30.5000      0.6907
   31.5000      0.6653
   32.5000      0.7152
   33.5000      0.7017
   34.5000      0.6961
   35.5000      0.6921
   36.5000      0.6916
   37.5000      0.7021
   38.5000      0.6803
   39.5000      0.6819
   41.5000      0.6946
   42.5000      0.6952
   43.5000      0.6909
   45.5000      0.7115
   46.5000      0.7037
   47.5000      0.7034
   48.5000      0.7065
   51.5000      0.7105
   52.5000      0.7328
   54.5000      0.7288
   55.5000      0.7213
   56.5000      0.7200
   59.5000      0.7350
