Phase  Observation
 -104.5000      0.4169
 -103.5000      0.4148
 -101.5000      0.4078
 -100.5000      0.4146
  -95.5000      0.4108
  -94.5000      0.4098
  -93.5000      0.4086
  -92.5000      0.4039
  -90.5000      0.4038
  -82.5000      0.4153
  -81.5000      0.4149
  -80.5000      0.4220
  -79.5000      0.4157
  -78.5000      0.4201
  -77.5000      0.4148
  -76.5000      0.4178
  -75.5000      0.4205
  -66.5000      0.4560
  -63.5000      0.4461
  -62.5000      0.4533
  -61.5000      0.4474
  -60.5000      0.4466
  -59.5000      0.4544
  -58.5000      0.4506
  -57.5000      0.4544
  -45.5000      0.5022
  -41.5000      0.5055
  -40.5000      0.5084
  -39.5000      0.5149
  -38.5000      0.5218
  -37.5000      0.5183
  -36.5000      0.5168
  -35.5000      0.5234
  -33.5000      0.5245
  -32.5000      0.5297
  -25.5000      0.5950
  -24.5000      0.6003
  -23.5000      0.5979
  -22.5000      0.5960
  -21.5000      0.6023
  -20.5000      0.6131
  -19.5000      0.6175
  -18.5000      0.6115
  -17.5000      0.6178
  -16.5000      0.6316
  -15.5000      0.6346
  -14.5000      0.6502
  -13.5000      0.6489
  -12.5000      0.6524
  -11.5000      0.6519
  -10.5000      0.6551
   14.5000      0.6617
   15.5000      0.6592
   16.5000      0.6549
   17.5000      0.6508
   18.5000      0.6549
   19.5000      0.6429
   20.5000      0.6310
   21.5000      0.6379
   22.5000      0.6246
   23.5000      0.6208
   24.5000      0.6263
   25.5000      0.6197
   26.5000      0.6186
   27.5000      0.6197
   28.5000      0.6226
   29.5000      0.6195
   30.5000      0.6240
   31.5000      0.6145
   32.5000      0.6111
   33.5000      0.6142
   34.5000      0.6121
   37.5000      0.6022
   38.5000      0.6023
   39.5000      0.6018
   40.5000      0.5963
   41.5000      0.6025
   42.5000      0.5882
