Phase  EBF_Simu  CROP_Simu
 -100.0000      0.4036      0.6964
  -99.0000      0.4058      0.6923
  -98.0000      0.4078      0.6885
  -97.0000      0.4095      0.6848
  -96.0000      0.4111      0.6814
  -95.0000      0.4126      0.6780
  -94.0000      0.4139      0.6749
  -93.0000      0.4152      0.6719
  -92.0000      0.4163      0.6690
  -91.0000      0.4175      0.6663
  -90.0000      0.4185      0.6638
  -89.0000      0.4196      0.6614
  -88.0000      0.4206      0.6591
  -87.0000      0.4216      0.6569
  -86.0000      0.4226      0.6549
  -85.0000      0.4235      0.6531
  -84.0000      0.4245      0.6513
  -83.0000      0.4255      0.6497
  -82.0000      0.4265      0.6481
  -81.0000      0.4275      0.6467
  -80.0000      0.4286      0.6454
  -79.0000      0.4296      0.6442
  -78.0000      0.4307      0.6432
  -77.0000      0.4318      0.6422
  -76.0000      0.4330      0.6413
  -75.0000      0.4341      0.6405
  -74.0000      0.4353      0.6398
  -73.0000      0.4366      0.6392
  -72.0000      0.4378      0.6387
  -71.0000      0.4391      0.6382
  -70.0000      0.4404      0.6379
  -69.0000      0.4418      0.6376
  -68.0000      0.4432      0.6374
  -67.0000      0.4446      0.6373
  -66.0000      0.4460      0.6373
  -65.0000      0.4475      0.6373
  -64.0000      0.4490      0.6374
  -63.0000      0.4506      0.6376
  -62.0000      0.4522      0.6378
  -61.0000      0.4538      0.6381
  -60.0000      0.4554      0.6385
  -59.0000      0.4572      0.6389
  -58.0000      0.4593      0.6394
  -57.0000      0.4615      0.6399
  -56.0000      0.4638      0.6405
  -55.0000      0.4663      0.6412
  -54.0000      0.4688      0.6419
  -53.0000      0.4715      0.6426
  -52.0000      0.4742      0.6434
  -51.0000      0.4770      0.6443
  -50.0000      0.4798      0.6451
  -49.0000      0.4828      0.6461
  -48.0000      0.4857      0.6470
  -47.0000      0.4888      0.6480
  -46.0000      0.4919      0.6491
  -45.0000      0.4950      0.6502
  -44.0000      0.4982      0.6513
  -43.0000      0.5015      0.6524
  -42.0000      0.5047      0.6536
  -41.0000      0.5081      0.6548
  -40.0000      0.5114      0.6560
  -39.0000      0.5149      0.6573
  -38.0000      0.5183      0.6586
  -37.0000      0.5218      0.6599
  -36.0000      0.5253      0.6612
  -35.0000      0.5289      0.6626
  -34.0000      0.5325      0.6639
  -33.0000      0.5362      0.6653
  -32.0000      0.5399      0.6667
  -31.0000      0.5436      0.6681
  -30.0000      0.5474      0.6696
  -29.0000      0.5512      0.6710
  -28.0000      0.5550      0.6725
  -27.0000      0.5588      0.6740
  -26.0000      0.5627      0.6755
  -25.0000      0.5666      0.6770
  -24.0000      0.5706      0.6785
  -23.0000      0.5746      0.6800
  -22.0000      0.5786      0.6815
  -21.0000      0.5827      0.6830
  -20.0000      0.5868      0.6845
  -19.0000      0.5910      0.6860
  -18.0000      0.5953      0.6876
  -17.0000      0.5997      0.6891
  -16.0000      0.6041      0.6906
  -15.0000      0.6087      0.6921
  -14.0000      0.6135      0.6936
  -13.0000      0.6186      0.6951
  -12.0000      0.6239      0.6966
  -11.0000      0.6297      0.6981
  -10.0000      0.6360      0.6996
   -9.0000      0.6430      0.7012
   -8.0000      0.6509      0.7028
   -7.0000      0.6601      0.7045
   -6.0000      0.6708      0.7064
   -5.0000      0.6837      0.7086
   -4.0000      0.6992      0.7113
   -3.0000      0.7181      0.7148
   -2.0000      0.7414      0.7197
   -1.0000      0.7700      0.7270
    0.0000      0.8050      0.7380
    1.0000      0.7748      0.7295
    2.0000      0.7507      0.7247
    3.0000      0.7317      0.7222
    4.0000      0.7169      0.7211
    5.0000      0.7054      0.7208
    6.0000      0.6964      0.7210
    7.0000      0.6895      0.7216
    8.0000      0.6840      0.7223
    9.0000      0.6797      0.7231
   10.0000      0.6762      0.7240
   11.0000      0.6734      0.7249
   12.0000      0.6710      0.7258
   13.0000      0.6689      0.7267
   14.0000      0.6672      0.7277
   15.0000      0.6655      0.7286
   16.0000      0.6640      0.7296
   17.0000      0.6626      0.7305
   18.0000      0.6612      0.7314
   19.0000      0.6598      0.7324
   20.0000      0.6585      0.7334
   21.0000      0.6571      0.7343
   22.0000      0.6557      0.7353
   23.0000      0.6543      0.7363
   24.0000      0.6529      0.7373
   25.0000      0.6514      0.7383
   26.0000      0.6500      0.7393
   27.0000      0.6485      0.7403
   28.0000      0.6471      0.7414
   29.0000      0.6457      0.7425
   30.0000      0.6444      0.7436
   31.0000      0.6432      0.7448
   32.0000      0.6423      0.7460
   33.0000      0.6416      0.7472
   34.0000      0.6416      0.7485
   35.0000      0.6430      0.7498
   36.0000      0.6452      0.7511
   37.0000      0.6474      0.7525
   38.0000      0.6497      0.7540
   39.0000      0.6520      0.7555
   40.0000      0.6544      0.7571
