Phase  Observation
  -91.5000      0.7005
  -90.5000      0.7181
  -89.5000      0.7107
  -88.5000      0.7233
  -87.5000      0.7448
  -83.5000      0.6851
  -82.5000      0.6900
  -81.5000      0.6971
  -80.5000      0.7020
  -79.5000      0.6933
  -78.5000      0.7052
  -77.5000      0.7146
  -71.5000      0.6574
  -70.5000      0.6594
  -69.5000      0.6601
  -68.5000      0.6738
  -67.5000      0.6767
  -66.5000      0.6683
  -65.5000      0.6889
  -64.5000      0.7038
  -56.5000      0.6644
  -55.5000      0.6601
  -53.5000      0.6560
  -52.5000      0.6570
  -51.5000      0.6672
  -50.5000      0.6566
  -49.5000      0.6582
  -48.5000      0.6613
  -47.5000      0.6777
  -46.5000      0.6946
  -45.5000      0.6990
  -41.5000      0.6572
  -40.5000      0.6678
  -37.5000      0.6585
  -36.5000      0.6585
  -35.5000      0.6653
  -34.5000      0.6697
  -33.5000      0.6778
  -32.5000      0.6743
  -31.5000      0.6615
  -30.5000      0.6718
  -29.5000      0.6527
  -28.5000      0.6569
  -27.5000      0.6836
  -26.5000      0.6820
  -25.5000      0.6899
  -23.5000      0.7082
  -22.5000      0.7021
  -18.5000      0.7123
   15.5000      0.7515
   16.5000      0.7379
   19.5000      0.7532
   20.5000      0.7286
   21.5000      0.7298
   22.5000      0.7278
   23.5000      0.7043
   24.5000      0.7062
   25.5000      0.7121
   26.5000      0.7006
   27.5000      0.7239
   28.5000      0.7147
   29.5000      0.7014
   30.5000      0.7257
   31.5000      0.7048
   32.5000      0.7261
   33.5000      0.7380
   34.5000      0.7335
   35.5000      0.7168
   36.5000      0.7302
   37.5000      0.7328
   38.5000      0.7099
   39.5000      0.7125
   41.5000      0.7653
   42.5000      0.7213
   43.5000      0.7228
   44.5000      0.7695
   45.5000      0.7499
   47.5000      0.7508
   48.5000      0.7682
   49.5000      0.7617
   50.5000      0.7516
   51.5000      0.7761
   52.5000      0.7984
   53.5000      0.8135
   54.5000      0.7938
   55.5000      0.8035
   56.5000      0.8068
   57.5000      0.7996
