Phase  Observation
 -104.5000      0.4399
 -103.5000      0.4368
 -101.5000      0.4331
 -100.5000      0.4359
  -95.5000      0.4354
  -94.5000      0.4304
  -93.5000      0.4211
  -91.5000      0.4231
  -90.5000      0.4356
  -80.5000      0.4298
  -79.5000      0.4254
  -78.5000      0.4337
  -77.5000      0.4323
  -76.5000      0.4316
  -75.5000      0.4338
  -66.5000      0.4736
  -65.5000      0.4624
  -62.5000      0.4681
  -61.5000      0.4622
  -60.5000      0.4624
  -59.5000      0.4734
  -58.5000      0.4734
  -57.5000      0.4725
  -42.5000      0.5252
  -41.5000      0.5307
  -40.5000      0.5344
  -39.5000      0.5420
  -38.5000      0.5469
  -37.5000      0.5392
  -36.5000      0.5359
  -35.5000      0.5457
  -34.5000      0.5608
  -33.5000      0.5572
  -26.5000      0.6113
  -25.5000      0.6149
  -24.5000      0.6199
  -23.5000      0.6146
  -22.5000      0.6114
  -21.5000      0.6194
  -20.5000      0.6316
  -19.5000      0.6358
  -18.5000      0.6311
  -17.5000      0.6381
  -16.5000      0.6527
  -15.5000      0.6563
  -14.5000      0.6734
  -13.5000      0.6752
  -12.5000      0.6808
  -11.5000      0.6790
  -10.5000      0.6821
   15.5000      0.6945
   16.5000      0.6880
   17.5000      0.6850
   18.5000      0.6824
   19.5000      0.6687
   20.5000      0.6540
   21.5000      0.6604
   22.5000      0.6448
   23.5000      0.6386
   24.5000      0.6450
   25.5000      0.6396
   26.5000      0.6389
   27.5000      0.6420
   28.5000      0.6439
   29.5000      0.6435
   30.5000      0.6466
   31.5000      0.6366
   32.5000      0.6321
   33.5000      0.6391
   34.5000      0.6412
   36.5000      0.6327
   37.5000      0.6278
   38.5000      0.6300
   39.5000      0.6260
   40.5000      0.6069
   41.5000      0.6144
   42.5000      0.6024
