Phase  EBF_Simu  CROP_Simu
 -100.0000      0.4216      0.7435
  -99.0000      0.4238      0.7373
  -98.0000      0.4258      0.7314
  -97.0000      0.4275      0.7257
  -96.0000      0.4291      0.7204
  -95.0000      0.4306      0.7154
  -94.0000      0.4319      0.7106
  -93.0000      0.4331      0.7062
  -92.0000      0.4343      0.7019
  -91.0000      0.4354      0.6979
  -90.0000      0.4365      0.6941
  -89.0000      0.4375      0.6906
  -88.0000      0.4385      0.6872
  -87.0000      0.4395      0.6841
  -86.0000      0.4405      0.6812
  -85.0000      0.4415      0.6784
  -84.0000      0.4424      0.6759
  -83.0000      0.4434      0.6735
  -82.0000      0.4445      0.6713
  -81.0000      0.4455      0.6692
  -80.0000      0.4465      0.6674
  -79.0000      0.4476      0.6656
  -78.0000      0.4487      0.6641
  -77.0000      0.4498      0.6626
  -76.0000      0.4510      0.6614
  -75.0000      0.4522      0.6602
  -74.0000      0.4534      0.6592
  -73.0000      0.4547      0.6583
  -72.0000      0.4559      0.6575
  -71.0000      0.4573      0.6569
  -70.0000      0.4586      0.6564
  -69.0000      0.4600      0.6560
  -68.0000      0.4614      0.6557
  -67.0000      0.4629      0.6555
  -66.0000      0.4644      0.6554
  -65.0000      0.4659      0.6554
  -64.0000      0.4675      0.6555
  -63.0000      0.4691      0.6557
  -62.0000      0.4707      0.6560
  -61.0000      0.4724      0.6563
  -60.0000      0.4740      0.6568
  -59.0000      0.4759      0.6574
  -58.0000      0.4780      0.6580
  -57.0000      0.4803      0.6587
  -56.0000      0.4828      0.6595
  -55.0000      0.4853      0.6603
  -54.0000      0.4879      0.6612
  -53.0000      0.4906      0.6622
  -52.0000      0.4935      0.6633
  -51.0000      0.4963      0.6644
  -50.0000      0.4993      0.6656
  -49.0000      0.5023      0.6668
  -48.0000      0.5054      0.6681
  -47.0000      0.5085      0.6694
  -46.0000      0.5117      0.6708
  -45.0000      0.5150      0.6723
  -44.0000      0.5183      0.6738
  -43.0000      0.5216      0.6753
  -42.0000      0.5250      0.6769
  -41.0000      0.5284      0.6786
  -40.0000      0.5319      0.6802
  -39.0000      0.5354      0.6820
  -38.0000      0.5390      0.6837
  -37.0000      0.5426      0.6855
  -36.0000      0.5462      0.6873
  -35.0000      0.5499      0.6892
  -34.0000      0.5537      0.6910
  -33.0000      0.5575      0.6929
  -32.0000      0.5613      0.6949
  -31.0000      0.5651      0.6968
  -30.0000      0.5690      0.6988
  -29.0000      0.5729      0.7008
  -28.0000      0.5769      0.7028
  -27.0000      0.5808      0.7049
  -26.0000      0.5848      0.7070
  -25.0000      0.5889      0.7090
  -24.0000      0.5930      0.7111
  -23.0000      0.5971      0.7132
  -22.0000      0.6012      0.7153
  -21.0000      0.6055      0.7175
  -20.0000      0.6097      0.7196
  -19.0000      0.6140      0.7217
  -18.0000      0.6184      0.7238
  -17.0000      0.6229      0.7260
  -16.0000      0.6275      0.7281
  -15.0000      0.6323      0.7302
  -14.0000      0.6373      0.7323
  -13.0000      0.6425      0.7344
  -12.0000      0.6480      0.7366
  -11.0000      0.6540      0.7387
  -10.0000      0.6605      0.7408
   -9.0000      0.6677      0.7430
   -8.0000      0.6759      0.7453
   -7.0000      0.6854      0.7477
   -6.0000      0.6966      0.7504
   -5.0000      0.7100      0.7536
   -4.0000      0.7261      0.7575
   -3.0000      0.7459      0.7626
   -2.0000      0.7702      0.7699
   -1.0000      0.8001      0.7807
    0.0000      0.8368      0.7974
    1.0000      0.8051      0.7845
    2.0000      0.7798      0.7773
    3.0000      0.7600      0.7736
    4.0000      0.7445      0.7720
    5.0000      0.7325      0.7716
    6.0000      0.7232      0.7720
    7.0000      0.7159      0.7729
    8.0000      0.7103      0.7741
    9.0000      0.7058      0.7754
   10.0000      0.7022      0.7768
   11.0000      0.6993      0.7782
   12.0000      0.6969      0.7797
   13.0000      0.6948      0.7812
   14.0000      0.6930      0.7827
   15.0000      0.6914      0.7842
   16.0000      0.6899      0.7857
   17.0000      0.6885      0.7873
   18.0000      0.6871      0.7888
   19.0000      0.6857      0.7903
   20.0000      0.6844      0.7919
   21.0000      0.6830      0.7934
   22.0000      0.6816      0.7950
   23.0000      0.6803      0.7966
   24.0000      0.6789      0.7983
   25.0000      0.6774      0.7999
   26.0000      0.6760      0.8016
   27.0000      0.6746      0.8033
   28.0000      0.6732      0.8051
   29.0000      0.6718      0.8069
   30.0000      0.6705      0.8088
   31.0000      0.6694      0.8107
   32.0000      0.6685      0.8127
   33.0000      0.6679      0.8147
   34.0000      0.6680      0.8168
   35.0000      0.6695      0.8189
   36.0000      0.6717      0.8212
   37.0000      0.6741      0.8235
   38.0000      0.6765      0.8259
   39.0000      0.6789      0.8284
   40.0000      0.6814      0.8309
