Phase  Observation
  -91.5000      0.8852
  -90.5000      0.8941
  -89.5000      0.8986
  -88.5000      0.9020
  -87.5000      0.9069
  -86.5000      0.9182
  -82.5000      0.8825
  -81.5000      0.8792
  -80.5000      0.8870
  -79.5000      0.8920
  -78.5000      0.9005
  -77.5000      0.9028
  -70.5000      0.8697
  -69.5000      0.8694
  -68.5000      0.8661
  -67.5000      0.8729
  -66.5000      0.8746
  -65.5000      0.8829
  -64.5000      0.8945
  -56.5000      0.8514
  -55.5000      0.8587
  -54.5000      0.8544
  -53.5000      0.8526
  -51.5000      0.8561
  -50.5000      0.8567
  -49.5000      0.8604
  -48.5000      0.8621
  -47.5000      0.8701
  -40.5000      0.8676
  -39.5000      0.8508
  -37.5000      0.8503
  -36.5000      0.8461
  -33.5000      0.8510
  -32.5000      0.8571
  -31.5000      0.8557
  -30.5000      0.8690
  -29.5000      0.8544
  -28.5000      0.8518
  -27.5000      0.8675
  -26.5000      0.8631
  -25.5000      0.8718
  -22.5000      0.8847
  -18.5000      0.8731
   10.5000      0.8622
   11.5000      0.8728
   15.5000      0.8787
   16.5000      0.8711
   19.5000      0.8792
   20.5000      0.8659
   21.5000      0.8691
   22.5000      0.8707
   23.5000      0.8549
   24.5000      0.8589
   25.5000      0.8660
   26.5000      0.8564
   27.5000      0.8651
   28.5000      0.8574
   30.5000      0.8827
   32.5000      0.8782
   33.5000      0.8671
   34.5000      0.8630
   35.5000      0.8600
   36.5000      0.8681
   37.5000      0.8648
   42.5000      0.8768
   43.5000      0.8756
   45.5000      0.8788
   46.5000      0.8723
   47.5000      0.8707
   48.5000      0.8684
   50.5000      0.8657
   51.5000      0.8857
   52.5000      0.8900
   54.5000      0.8894
   55.5000      0.8818
   56.5000      0.8800
   58.5000      0.8800
   59.5000      0.8921
