Phase  Observation
 -105.5000      0.9033
 -104.5000      0.9029
 -101.5000      0.9009
 -100.5000      0.9106
  -95.5000      0.9019
  -94.5000      0.9007
  -93.5000      0.9055
  -90.5000      0.9000
  -81.5000      0.8996
  -80.5000      0.9048
  -79.5000      0.8978
  -78.5000      0.8980
  -76.5000      0.9007
  -75.5000      0.9026
  -66.5000      0.8959
  -64.5000      0.9043
  -63.5000      0.8953
  -62.5000      0.8982
  -61.5000      0.9016
  -60.5000      0.8908
  -59.5000      0.8995
  -57.5000      0.8961
  -56.5000      0.8986
  -45.5000      0.8987
  -42.5000      0.9016
  -41.5000      0.9024
  -40.5000      0.8903
  -39.5000      0.8896
  -37.5000      0.8968
  -35.5000      0.8913
  -34.5000      0.8971
  -32.5000      0.8902
  -31.5000      0.8941
  -30.5000      0.8935
  -23.5000      0.8769
  -22.5000      0.8701
  -21.5000      0.8741
  -20.5000      0.8829
  -19.5000      0.8815
  -18.5000      0.8674
  -17.5000      0.8666
  -16.5000      0.8737
  -15.5000      0.8723
  -14.5000      0.8802
  -13.5000      0.8760
  -12.5000      0.8670
   -9.5000      0.8639
   -7.5000      0.8652
   -6.5000      0.8613
   12.5000      0.8663
   13.5000      0.8625
   16.5000      0.8626
   17.5000      0.8684
   18.5000      0.8735
   19.5000      0.8699
   20.5000      0.8624
   21.5000      0.8747
   22.5000      0.8679
   23.5000      0.8670
   24.5000      0.8788
   25.5000      0.8793
   26.5000      0.8680
   28.5000      0.8627
   29.5000      0.8709
   30.5000      0.8725
   31.5000      0.8636
   32.5000      0.8635
   33.5000      0.8734
   35.5000      0.8746
   36.5000      0.8540
   38.5000      0.8583
   39.5000      0.8650
   40.5000      0.8592
   43.5000      0.8543
