Phase  EBF_Simu  CROP_Simu
 -100.0000      0.9010      0.9031
  -99.0000      0.9013      0.9010
  -98.0000      0.9016      0.8992
  -97.0000      0.9019      0.8975
  -96.0000      0.9021      0.8959
  -95.0000      0.9024      0.8944
  -94.0000      0.9027      0.8930
  -93.0000      0.9029      0.8917
  -92.0000      0.9031      0.8905
  -91.0000      0.9033      0.8893
  -90.0000      0.9035      0.8883
  -89.0000      0.9037      0.8872
  -88.0000      0.9039      0.8863
  -87.0000      0.9040      0.8854
  -86.0000      0.9041      0.8845
  -85.0000      0.9042      0.8837
  -84.0000      0.9043      0.8830
  -83.0000      0.9043      0.8822
  -82.0000      0.9044      0.8816
  -81.0000      0.9044      0.8809
  -80.0000      0.9043      0.8803
  -79.0000      0.9043      0.8797
  -78.0000      0.9042      0.8792
  -77.0000      0.9041      0.8787
  -76.0000      0.9040      0.8782
  -75.0000      0.9039      0.8778
  -74.0000      0.9037      0.8773
  -73.0000      0.9036      0.8770
  -72.0000      0.9034      0.8766
  -71.0000      0.9032      0.8762
  -70.0000      0.9030      0.8759
  -69.0000      0.9027      0.8756
  -68.0000      0.9025      0.8753
  -67.0000      0.9022      0.8751
  -66.0000      0.9019      0.8749
  -65.0000      0.9016      0.8746
  -64.0000      0.9012      0.8744
  -63.0000      0.9009      0.8743
  -62.0000      0.9006      0.8741
  -61.0000      0.9002      0.8740
  -60.0000      0.8998      0.8738
  -59.0000      0.8994      0.8737
  -58.0000      0.8990      0.8735
  -57.0000      0.8985      0.8733
  -56.0000      0.8980      0.8731
  -55.0000      0.8974      0.8730
  -54.0000      0.8969      0.8728
  -53.0000      0.8963      0.8726
  -52.0000      0.8957      0.8724
  -51.0000      0.8951      0.8723
  -50.0000      0.8945      0.8721
  -49.0000      0.8939      0.8720
  -48.0000      0.8933      0.8718
  -47.0000      0.8927      0.8717
  -46.0000      0.8921      0.8715
  -45.0000      0.8915      0.8714
  -44.0000      0.8908      0.8713
  -43.0000      0.8902      0.8711
  -42.0000      0.8896      0.8710
  -41.0000      0.8890      0.8709
  -40.0000      0.8883      0.8707
  -39.0000      0.8877      0.8706
  -38.0000      0.8871      0.8705
  -37.0000      0.8864      0.8704
  -36.0000      0.8858      0.8703
  -35.0000      0.8852      0.8702
  -34.0000      0.8846      0.8701
  -33.0000      0.8840      0.8700
  -32.0000      0.8833      0.8699
  -31.0000      0.8827      0.8698
  -30.0000      0.8821      0.8697
  -29.0000      0.8815      0.8696
  -28.0000      0.8809      0.8694
  -27.0000      0.8803      0.8693
  -26.0000      0.8797      0.8692
  -25.0000      0.8791      0.8691
  -24.0000      0.8785      0.8690
  -23.0000      0.8780      0.8689
  -22.0000      0.8774      0.8688
  -21.0000      0.8768      0.8687
  -20.0000      0.8762      0.8686
  -19.0000      0.8757      0.8685
  -18.0000      0.8751      0.8683
  -17.0000      0.8745      0.8682
  -16.0000      0.8739      0.8681
  -15.0000      0.8733      0.8680
  -14.0000      0.8726      0.8678
  -13.0000      0.8720      0.8677
  -12.0000      0.8713      0.8675
  -11.0000      0.8705      0.8674
  -10.0000      0.8697      0.8672
   -9.0000      0.8687      0.8671
   -8.0000      0.8676      0.8670
   -7.0000      0.8663      0.8668
   -6.0000      0.8648      0.8667
   -5.0000      0.8631      0.8666
   -4.0000      0.8610      0.8666
   -3.0000      0.8584      0.8668
   -2.0000      0.8555      0.8671
   -1.0000      0.8520      0.8678
    0.0000      0.8481      0.8690
    1.0000      0.8516      0.8680
    2.0000      0.8545      0.8675
    3.0000      0.8569      0.8674
    4.0000      0.8589      0.8676
    5.0000      0.8604      0.8678
    6.0000      0.8616      0.8681
    7.0000      0.8625      0.8685
    8.0000      0.8632      0.8689
    9.0000      0.8636      0.8694
   10.0000      0.8640      0.8698
   11.0000      0.8642      0.8703
   12.0000      0.8644      0.8708
   13.0000      0.8644      0.8712
   14.0000      0.8645      0.8717
   15.0000      0.8645      0.8722
   16.0000      0.8645      0.8727
   17.0000      0.8644      0.8732
   18.0000      0.8644      0.8737
   19.0000      0.8643      0.8743
   20.0000      0.8642      0.8748
   21.0000      0.8641      0.8753
   22.0000      0.8641      0.8759
   23.0000      0.8640      0.8764
   24.0000      0.8639      0.8770
   25.0000      0.8638      0.8776
   26.0000      0.8636      0.8782
   27.0000      0.8635      0.8788
   28.0000      0.8634      0.8794
   29.0000      0.8633      0.8801
   30.0000      0.8631      0.8807
   31.0000      0.8630      0.8814
   32.0000      0.8628      0.8820
   33.0000      0.8626      0.8827
   34.0000      0.8624      0.8834
   35.0000      0.8621      0.8840
   36.0000      0.8617      0.8847
   37.0000      0.8614      0.8854
   38.0000      0.8610      0.8860
   39.0000      0.8606      0.8865
   40.0000      0.8603      0.8869
