Phase  Observation
  -91.5000      0.3731
  -90.5000      0.3854
  -89.5000      0.3832
  -88.5000      0.3956
  -87.5000      0.4105
  -82.5000      0.3641
  -81.5000      0.3712
  -80.5000      0.3789
  -79.5000      0.3754
  -78.5000      0.3884
  -77.5000      0.3958
  -69.5000      0.3478
  -68.5000      0.3584
  -67.5000      0.3613
  -66.5000      0.3556
  -65.5000      0.3704
  -64.5000      0.3814
  -56.5000      0.3457
  -55.5000      0.3442
  -53.5000      0.3438
  -52.5000      0.3454
  -51.5000      0.3542
  -50.5000      0.3482
  -49.5000      0.3492
  -48.5000      0.3520
  -47.5000      0.3642
  -46.5000      0.3772
  -45.5000      0.3788
  -41.5000      0.3410
  -40.5000      0.3513
  -37.5000      0.3410
  -36.5000      0.3412
  -35.5000      0.3446
  -34.5000      0.3453
  -33.5000      0.3532
  -32.5000      0.3556
  -31.5000      0.3503
  -30.5000      0.3604
  -29.5000      0.3485
  -28.5000      0.3510
  -27.5000      0.3685
  -26.5000      0.3662
  -25.5000      0.3721
  -23.5000      0.3816
  -22.5000      0.3744
  -18.5000      0.3796
   15.5000      0.4224
   16.5000      0.4122
   19.5000      0.4196
   20.5000      0.4027
   21.5000      0.4054
   22.5000      0.4045
   23.5000      0.3862
   24.5000      0.3860
   25.5000      0.3908
   26.5000      0.3834
   27.5000      0.4018
   28.5000      0.3911
   29.5000      0.3794
   30.5000      0.3976
   31.5000      0.3778
   32.5000      0.4161
   33.5000      0.4063
   34.5000      0.4021
   35.5000      0.3984
   36.5000      0.3971
   37.5000      0.4068
   38.5000      0.3904
   39.5000      0.3911
   41.5000      0.4005
   42.5000      0.3991
   43.5000      0.3954
   45.5000      0.4128
   46.5000      0.4072
   47.5000      0.4069
   48.5000      0.4101
   51.5000      0.4110
   52.5000      0.4301
   54.5000      0.4265
   55.5000      0.4211
   56.5000      0.4201
   59.5000      0.4315
