Phase  Observation
 -104.5000      0.1982
 -103.5000      0.1972
 -101.5000      0.1924
 -100.5000      0.1965
  -95.5000      0.1943
  -94.5000      0.1941
  -93.5000      0.1935
  -92.5000      0.1904
  -90.5000      0.1900
  -82.5000      0.1969
  -81.5000      0.1969
  -80.5000      0.2016
  -79.5000      0.1975
  -78.5000      0.2000
  -77.5000      0.1969
  -76.5000      0.1982
  -75.5000      0.1998
  -66.5000      0.2216
  -63.5000      0.2157
  -62.5000      0.2206
  -61.5000      0.2165
  -60.5000      0.2160
  -59.5000      0.2207
  -58.5000      0.2190
  -57.5000      0.2203
  -45.5000      0.2511
  -41.5000      0.2531
  -40.5000      0.2555
  -39.5000      0.2600
  -38.5000      0.2641
  -37.5000      0.2618
  -36.5000      0.2611
  -35.5000      0.2654
  -33.5000      0.2671
  -32.5000      0.2697
  -25.5000      0.3163
  -24.5000      0.3202
  -23.5000      0.3192
  -22.5000      0.3183
  -21.5000      0.3228
  -20.5000      0.3303
  -19.5000      0.3337
  -18.5000      0.3304
  -17.5000      0.3355
  -16.5000      0.3456
  -15.5000      0.3482
  -14.5000      0.3598
  -13.5000      0.3598
  -12.5000      0.3636
  -11.5000      0.3645
  -10.5000      0.3675
   14.5000      0.3726
   15.5000      0.3701
   16.5000      0.3663
   17.5000      0.3623
   18.5000      0.3644
   19.5000      0.3552
   20.5000      0.3464
   21.5000      0.3505
   22.5000      0.3407
   23.5000      0.3378
   24.5000      0.3409
   25.5000      0.3357
   26.5000      0.3344
   27.5000      0.3361
   28.5000      0.3397
   29.5000      0.3372
   30.5000      0.3397
   31.5000      0.3331
   32.5000      0.3304
   33.5000      0.3319
   34.5000      0.3297
   37.5000      0.3246
   38.5000      0.3240
   39.5000      0.3231
   40.5000      0.3193
   41.5000      0.3228
   42.5000      0.3121
