Phase  EBF_Simu  CROP_Simu
 -100.0000      0.1898      0.3952
  -99.0000      0.1911      0.3921
  -98.0000      0.1922      0.3891
  -97.0000      0.1933      0.3863
  -96.0000      0.1942      0.3835
  -95.0000      0.1951      0.3809
  -94.0000      0.1959      0.3785
  -93.0000      0.1966      0.3762
  -92.0000      0.1973      0.3739
  -91.0000      0.1980      0.3719
  -90.0000      0.1986      0.3699
  -89.0000      0.1992      0.3680
  -88.0000      0.1998      0.3663
  -87.0000      0.2004      0.3646
  -86.0000      0.2010      0.3631
  -85.0000      0.2016      0.3616
  -84.0000      0.2022      0.3603
  -83.0000      0.2028      0.3590
  -82.0000      0.2034      0.3579
  -81.0000      0.2040      0.3568
  -80.0000      0.2046      0.3558
  -79.0000      0.2053      0.3549
  -78.0000      0.2059      0.3541
  -77.0000      0.2066      0.3534
  -76.0000      0.2073      0.3527
  -75.0000      0.2080      0.3521
  -74.0000      0.2087      0.3516
  -73.0000      0.2094      0.3511
  -72.0000      0.2102      0.3508
  -71.0000      0.2110      0.3505
  -70.0000      0.2117      0.3502
  -69.0000      0.2126      0.3500
  -68.0000      0.2134      0.3499
  -67.0000      0.2143      0.3498
  -66.0000      0.2152      0.3498
  -65.0000      0.2161      0.3499
  -64.0000      0.2170      0.3500
  -63.0000      0.2179      0.3501
  -62.0000      0.2189      0.3503
  -61.0000      0.2199      0.3506
  -60.0000      0.2209      0.3509
  -59.0000      0.2220      0.3512
  -58.0000      0.2233      0.3517
  -57.0000      0.2247      0.3521
  -56.0000      0.2261      0.3526
  -55.0000      0.2277      0.3532
  -54.0000      0.2293      0.3537
  -53.0000      0.2309      0.3544
  -52.0000      0.2327      0.3550
  -51.0000      0.2344      0.3557
  -50.0000      0.2363      0.3565
  -49.0000      0.2381      0.3572
  -48.0000      0.2400      0.3581
  -47.0000      0.2420      0.3589
  -46.0000      0.2440      0.3598
  -45.0000      0.2461      0.3607
  -44.0000      0.2482      0.3616
  -43.0000      0.2503      0.3626
  -42.0000      0.2525      0.3636
  -41.0000      0.2547      0.3646
  -40.0000      0.2570      0.3656
  -39.0000      0.2592      0.3667
  -38.0000      0.2616      0.3677
  -37.0000      0.2639      0.3689
  -36.0000      0.2664      0.3700
  -35.0000      0.2688      0.3711
  -34.0000      0.2713      0.3723
  -33.0000      0.2739      0.3735
  -32.0000      0.2765      0.3747
  -31.0000      0.2791      0.3759
  -30.0000      0.2817      0.3771
  -29.0000      0.2844      0.3784
  -28.0000      0.2872      0.3796
  -27.0000      0.2899      0.3809
  -26.0000      0.2928      0.3822
  -25.0000      0.2956      0.3835
  -24.0000      0.2985      0.3848
  -23.0000      0.3015      0.3861
  -22.0000      0.3045      0.3874
  -21.0000      0.3075      0.3888
  -20.0000      0.3106      0.3901
  -19.0000      0.3138      0.3915
  -18.0000      0.3171      0.3928
  -17.0000      0.3204      0.3941
  -16.0000      0.3239      0.3955
  -15.0000      0.3275      0.3968
  -14.0000      0.3313      0.3982
  -13.0000      0.3353      0.3995
  -12.0000      0.3395      0.4009
  -11.0000      0.3442      0.4023
  -10.0000      0.3493      0.4036
   -9.0000      0.3551      0.4051
   -8.0000      0.3618      0.4065
   -7.0000      0.3696      0.4081
   -6.0000      0.3789      0.4098
   -5.0000      0.3903      0.4118
   -4.0000      0.4044      0.4142
   -3.0000      0.4222      0.4174
   -2.0000      0.4450      0.4219
   -1.0000      0.4745      0.4284
    0.0000      0.5131      0.4384
    1.0000      0.4796      0.4307
    2.0000      0.4544      0.4263
    3.0000      0.4353      0.4240
    4.0000      0.4210      0.4230
    5.0000      0.4101      0.4227
    6.0000      0.4018      0.4228
    7.0000      0.3954      0.4232
    8.0000      0.3905      0.4238
    9.0000      0.3867      0.4245
   10.0000      0.3836      0.4252
   11.0000      0.3811      0.4259
   12.0000      0.3791      0.4267
   13.0000      0.3773      0.4275
   14.0000      0.3758      0.4282
   15.0000      0.3744      0.4290
   16.0000      0.3731      0.4298
   17.0000      0.3719      0.4305
   18.0000      0.3708      0.4313
   19.0000      0.3696      0.4321
   20.0000      0.3685      0.4328
   21.0000      0.3673      0.4336
   22.0000      0.3662      0.4344
   23.0000      0.3650      0.4352
   24.0000      0.3638      0.4360
   25.0000      0.3626      0.4368
   26.0000      0.3615      0.4376
   27.0000      0.3603      0.4385
   28.0000      0.3591      0.4393
   29.0000      0.3580      0.4402
   30.0000      0.3569      0.4411
   31.0000      0.3560      0.4421
   32.0000      0.3552      0.4430
   33.0000      0.3547      0.4440
   34.0000      0.3547      0.4451
   35.0000      0.3559      0.4462
   36.0000      0.3578      0.4473
   37.0000      0.3597      0.4485
   38.0000      0.3616      0.4497
   39.0000      0.3636      0.4510
   40.0000      0.3656      0.4524
