Phase  Observation
  -91.5000      0.0260
  -90.5000      0.0238
  -89.5000      0.0224
  -88.5000      0.0222
  -87.5000      0.0217
  -86.5000      0.0197
  -82.5000      0.0256
  -81.5000      0.0267
  -80.5000      0.0252
  -79.5000      0.0236
  -78.5000      0.0222
  -77.5000      0.0219
  -70.5000      0.0275
  -69.5000      0.0274
  -68.5000      0.0293
  -67.5000      0.0277
  -66.5000      0.0268
  -65.5000      0.0257
  -64.5000      0.0234
  -63.5000      0.0232
  -55.5000      0.0304
  -54.5000      0.0303
  -53.5000      0.0315
  -51.5000      0.0317
  -50.5000      0.0310
  -49.5000      0.0300
  -48.5000      0.0298
  -47.5000      0.0288
  -40.5000      0.0283
  -39.5000      0.0318
  -38.5000      0.0320
  -37.5000      0.0317
  -36.5000      0.0328
  -33.5000      0.0327
  -32.5000      0.0314
  -31.5000      0.0314
  -30.5000      0.0285
  -29.5000      0.0314
  -28.5000      0.0324
  -27.5000      0.0296
  -26.5000      0.0307
  -25.5000      0.0289
  -18.5000      0.0290
   11.5000      0.0337
   15.5000      0.0306
   16.5000      0.0320
   19.5000      0.0304
   20.5000      0.0332
   21.5000      0.0323
   22.5000      0.0317
   23.5000      0.0348
   24.5000      0.0336
   25.5000      0.0320
   26.5000      0.0343
   27.5000      0.0331
   28.5000      0.0345
   32.5000      0.0329
   33.5000      0.0343
   34.5000      0.0337
   35.5000      0.0334
   36.5000      0.0346
   37.5000      0.0337
   40.5000      0.0350
   41.5000      0.0337
   42.5000      0.0290
   43.5000      0.0293
   45.5000      0.0300
   46.5000      0.0313
   47.5000      0.0319
   48.5000      0.0329
   50.5000      0.0323
   52.5000      0.0278
   54.5000      0.0278
   55.5000      0.0296
   56.5000      0.0302
   58.5000      0.0289
   59.5000      0.0272
