Phase  Observation
 -104.5000      0.2197
 -103.5000      0.2158
 -102.5000      0.2131
 -101.5000      0.2135
 -100.5000      0.2157
  -95.5000      0.2157
  -94.5000      0.2157
  -93.5000      0.2138
  -92.5000      0.2130
  -90.5000      0.2111
  -81.5000      0.2191
  -80.5000      0.2229
  -79.5000      0.2200
  -78.5000      0.2226
  -77.5000      0.2214
  -76.5000      0.2200
  -75.5000      0.2213
  -66.5000      0.2476
  -63.5000      0.2412
  -62.5000      0.2456
  -61.5000      0.2403
  -60.5000      0.2422
  -59.5000      0.2452
  -57.5000      0.2458
  -45.5000      0.2793
  -41.5000      0.2803
  -40.5000      0.2869
  -39.5000      0.2920
  -38.5000      0.2919
  -37.5000      0.2918
  -36.5000      0.2942
  -35.5000      0.2972
  -33.5000      0.3027
  -32.5000      0.3022
  -25.5000      0.3566
  -24.5000      0.3609
  -23.5000      0.3637
  -22.5000      0.3654
  -21.5000      0.3687
  -20.5000      0.3739
  -19.5000      0.3783
  -18.5000      0.3805
  -17.5000      0.3865
  -16.5000      0.3951
  -15.5000      0.3985
  -14.5000      0.4086
  -13.5000      0.4103
  -12.5000      0.4182
  -11.5000      0.4215
  -10.5000      0.4283
   15.5000      0.4295
   16.5000      0.4234
   17.5000      0.4162
   18.5000      0.4170
   19.5000      0.4078
   20.5000      0.4010
   21.5000      0.4005
   22.5000      0.3920
   23.5000      0.3892
   24.5000      0.3877
   25.5000      0.3817
   26.5000      0.3780
   27.5000      0.3972
   28.5000      0.3932
   29.5000      0.3889
   30.5000      0.3890
   31.5000      0.3852
   32.5000      0.3824
   33.5000      0.3799
   34.5000      0.3746
   37.5000      0.3814
   38.5000      0.3770
   39.5000      0.3730
   40.5000      0.3714
   41.5000      0.3697
   42.5000      0.3580
