Phase  EBF_Simu  CROP_Simu
 -100.0000      0.2107      0.4377
  -99.0000      0.2120      0.4352
  -98.0000      0.2132      0.4327
  -97.0000      0.2143      0.4304
  -96.0000      0.2153      0.4281
  -95.0000      0.2162      0.4259
  -94.0000      0.2170      0.4238
  -93.0000      0.2178      0.4218
  -92.0000      0.2185      0.4199
  -91.0000      0.2192      0.4181
  -90.0000      0.2198      0.4164
  -89.0000      0.2205      0.4148
  -88.0000      0.2211      0.4133
  -87.0000      0.2217      0.4118
  -86.0000      0.2223      0.4105
  -85.0000      0.2230      0.4092
  -84.0000      0.2236      0.4080
  -83.0000      0.2242      0.4070
  -82.0000      0.2249      0.4060
  -81.0000      0.2256      0.4050
  -80.0000      0.2263      0.4042
  -79.0000      0.2270      0.4034
  -78.0000      0.2277      0.4027
  -77.0000      0.2285      0.4021
  -76.0000      0.2293      0.4016
  -75.0000      0.2301      0.4011
  -74.0000      0.2309      0.4007
  -73.0000      0.2318      0.4004
  -72.0000      0.2326      0.4002
  -71.0000      0.2336      0.4000
  -70.0000      0.2345      0.3998
  -69.0000      0.2355      0.3997
  -68.0000      0.2365      0.3997
  -67.0000      0.2375      0.3998
  -66.0000      0.2386      0.3999
  -65.0000      0.2396      0.4000
  -64.0000      0.2408      0.4002
  -63.0000      0.2419      0.4005
  -62.0000      0.2431      0.4008
  -61.0000      0.2443      0.4012
  -60.0000      0.2455      0.4016
  -59.0000      0.2468      0.4020
  -58.0000      0.2484      0.4026
  -57.0000      0.2501      0.4032
  -56.0000      0.2518      0.4038
  -55.0000      0.2537      0.4045
  -54.0000      0.2556      0.4053
  -53.0000      0.2577      0.4061
  -52.0000      0.2597      0.4069
  -51.0000      0.2619      0.4078
  -50.0000      0.2641      0.4087
  -49.0000      0.2664      0.4097
  -48.0000      0.2687      0.4107
  -47.0000      0.2711      0.4117
  -46.0000      0.2735      0.4128
  -45.0000      0.2760      0.4139
  -44.0000      0.2786      0.4150
  -43.0000      0.2812      0.4162
  -42.0000      0.2838      0.4174
  -41.0000      0.2865      0.4186
  -40.0000      0.2893      0.4199
  -39.0000      0.2920      0.4211
  -38.0000      0.2949      0.4224
  -37.0000      0.2978      0.4238
  -36.0000      0.3007      0.4251
  -35.0000      0.3037      0.4265
  -34.0000      0.3067      0.4279
  -33.0000      0.3098      0.4293
  -32.0000      0.3130      0.4307
  -31.0000      0.3162      0.4322
  -30.0000      0.3194      0.4336
  -29.0000      0.3227      0.4351
  -28.0000      0.3260      0.4366
  -27.0000      0.3294      0.4381
  -26.0000      0.3328      0.4397
  -25.0000      0.3363      0.4412
  -24.0000      0.3398      0.4428
  -23.0000      0.3434      0.4444
  -22.0000      0.3470      0.4460
  -21.0000      0.3507      0.4475
  -20.0000      0.3545      0.4491
  -19.0000      0.3584      0.4507
  -18.0000      0.3623      0.4524
  -17.0000      0.3664      0.4540
  -16.0000      0.3706      0.4556
  -15.0000      0.3750      0.4572
  -14.0000      0.3796      0.4588
  -13.0000      0.3845      0.4605
  -12.0000      0.3897      0.4621
  -11.0000      0.3954      0.4638
  -10.0000      0.4017      0.4654
   -9.0000      0.4088      0.4671
   -8.0000      0.4170      0.4689
   -7.0000      0.4266      0.4708
   -6.0000      0.4381      0.4728
   -5.0000      0.4522      0.4751
   -4.0000      0.4697      0.4779
   -3.0000      0.4918      0.4816
   -2.0000      0.5202      0.4865
   -1.0000      0.5569      0.4937
    0.0000      0.6050      0.5046
    1.0000      0.5632      0.4962
    2.0000      0.5317      0.4914
    3.0000      0.5080      0.4888
    4.0000      0.4901      0.4876
    5.0000      0.4766      0.4871
    6.0000      0.4663      0.4870
    7.0000      0.4585      0.4873
    8.0000      0.4524      0.4877
    9.0000      0.4477      0.4883
   10.0000      0.4440      0.4888
   11.0000      0.4410      0.4894
   12.0000      0.4386      0.4900
   13.0000      0.4365      0.4906
   14.0000      0.4347      0.4912
   15.0000      0.4331      0.4919
   16.0000      0.4316      0.4924
   17.0000      0.4303      0.4930
   18.0000      0.4289      0.4936
   19.0000      0.4276      0.4942
   20.0000      0.4264      0.4948
   21.0000      0.4251      0.4954
   22.0000      0.4238      0.4960
   23.0000      0.4225      0.4965
   24.0000      0.4212      0.4971
   25.0000      0.4198      0.4977
   26.0000      0.4185      0.4983
   27.0000      0.4172      0.4989
   28.0000      0.4159      0.4996
   29.0000      0.4147      0.5002
   30.0000      0.4135      0.5009
   31.0000      0.4125      0.5016
   32.0000      0.4117      0.5023
   33.0000      0.4112      0.5031
   34.0000      0.4113      0.5038
   35.0000      0.4129      0.5047
   36.0000      0.4152      0.5056
   37.0000      0.4175      0.5065
   38.0000      0.4200      0.5076
   39.0000      0.4224      0.5088
   40.0000      0.4250      0.5101
