Phase  Observation
   30.9022      0.4780
   26.5871      0.4880
   22.0106      0.4880
   17.9082      0.4810
   15.5722      0.4850
   17.0350      0.4600
   22.2664      0.4620
  -29.6429      0.4190
  -37.6769      0.4290
  -45.6720      0.4150
  -53.1039      0.3900
  -59.8655      0.4070
  -65.8514      0.3850
  -71.0253      0.3750
  -52.1521      0.3850
  -51.1640      0.3930
  -50.4497      0.3920
  -50.3780      0.3760
  -51.0873      0.3670
  -53.1178      0.3660
  -56.4329      0.3520
  -60.8550      0.3440
  -66.0526      0.3530
  -71.5670      0.3370
  -76.9722      0.3490
  -81.8829      0.3680
  -86.1997      0.3700
  -90.1050      0.3720
  -47.4199      0.3850
  -46.1484      0.3870
  -45.4160      0.3750
  -45.5096      0.3800
  -46.8882      0.3550
  -50.0420      0.3490
  -54.8302      0.3290
  -60.7472      0.3410
  -67.2138      0.3500
  -73.4729      0.3290
  -79.2994      0.3320
  -84.3380      0.3370
  -88.8078      0.3480
  -92.6262      0.3400
   36.6381      0.4050
   32.9509      0.4120
  -29.1417      0.4090
  -25.6162      0.3890
  -23.6304      0.3970
  -25.1558      0.3760
  -30.9221      0.3530
  -39.6057      0.3450
  -49.4542      0.3250
  -58.8526      0.3220
  -67.3190      0.3460
  -74.4554      0.3440
  -80.4718      0.3240
  -85.4647      0.3550
   43.9180      0.3870
  -42.1120      0.3800
  -40.5338      0.3650
  -39.6310      0.3620
  -40.0264      0.3640
  -42.3059      0.3440
  -46.8558      0.3360
  -53.2832      0.3120
  -60.7582      0.3280
  -68.1801      0.3220
  -75.1215      0.3090
  -81.2070      0.3310
  -86.4257      0.3240
  -90.8415      0.3360
   25.4125      0.4560
   21.0080      0.4480
   16.4465      0.4530
   12.9172      0.4560
   12.5694      0.4580
   16.9954      0.4200
  -24.1256      0.4090
  -32.5137      0.3700
  -41.0526      0.3710
  -49.3558      0.3530
  -56.8804      0.3630
  -63.6729      0.3600
  -69.7026      0.3470
  -74.8971      0.3380
   26.5713      0.4280
   21.2871      0.4490
   15.1121      0.4560
    7.7852      0.4600
    0.7665      0.4770
  -10.3534      0.4220
  -20.8654      0.3790
  -31.8110      0.3640
  -42.4833      0.3660
  -52.2629      0.3550
  -60.8608      0.3540
  -68.3484      0.3230
  -74.6304      0.3570
  -80.0152      0.3540
   31.6560      0.4150
   27.4623      0.4150
   22.8523      0.4140
  -18.4810      0.4160
  -16.3067      0.3970
  -19.2393      0.3760
  -27.0331      0.3430
  -37.2345      0.3330
  -47.9057      0.3310
  -57.9312      0.3310
  -66.6699      0.3190
  -74.0428      0.3100
  -80.2447      0.3360
  -85.3414      0.3300
