Phase  Observation
  -91.7032      0.2010
  -86.2520      0.2010
  -79.5829      0.2070
  -71.7148      0.2090
  -62.3721      0.2280
  -51.6072      0.2440
  -39.9384      0.2780
  -28.4268      0.3160
  -18.2712      0.3690
  -11.5061      0.4150
   11.2106      0.4230
   15.3063      0.4100
   20.1255      0.4000
   24.5489      0.3790
  -97.5640      0.1940
  -93.1629      0.1960
  -87.8990      0.1970
  -81.6946      0.2020
  -74.5606      0.2110
  -66.3418      0.2150
  -57.5360      0.2360
  -48.7458      0.2490
  -41.1366      0.2770
  -35.5423      0.2980
  -32.4758      0.3140
  -31.6513      0.3230
   32.4645      0.3380
   34.0214      0.3460
  -97.7263      0.1990
  -93.6741      0.2020
  -89.0773      0.2040
  -83.9649      0.2070
  -78.3374      0.2150
  -72.4053      0.2260
  -66.3205      0.2320
  -60.5978      0.2430
  -55.6206      0.2640
  -51.7167      0.2750
  -48.9875      0.2800
  -47.3471      0.2960
  -46.6509      0.3040
   46.6006      0.3010
  -91.1703      0.1980
  -86.0311      0.2020
  -79.8383      0.2090
  -72.5222      0.2170
  -63.8150      0.2260
  -53.7773      0.2430
  -42.6465      0.2730
  -30.9738      0.3090
  -19.5584      0.3540
   -9.1578      0.4310
    0.2170      0.5360
    7.7382      0.4630
   14.3084      0.4220
   19.8092      0.4190
  -93.6913      0.1870
  -88.7146      0.2050
  -82.7813      0.1990
  -75.5931      0.2140
  -67.2216      0.2180
  -57.4958      0.2360
  -47.0716      0.2510
  -36.8742      0.2850
  -28.3341      0.3140
  -23.0248      0.3500
  -21.6004      0.3630
   23.2174      0.3620
   26.2052      0.3770
   29.4171      0.3710
  -94.7085      0.2010
  -90.1053      0.2010
  -84.8367      0.2080
  -78.7789      0.2110
  -72.0661      0.2160
  -64.9308      0.2290
  -57.7958      0.2380
  -51.3136      0.2580
  -46.1660      0.2770
  -42.7047      0.2910
  -40.9161      0.3070
  -40.4382      0.3190
   40.8986      0.3170
   41.9518      0.3280
  -85.8815      0.2120
  -80.3738      0.2130
  -73.8754      0.2210
  -66.2965      0.2340
  -57.5892      0.2510
  -48.0256      0.2710
  -37.8407      0.2910
  -27.7015      0.3350
  -18.5148      0.3860
   11.5638      0.4220
    9.5915      0.4510
   12.7889      0.4430
   17.4066      0.4310
   21.9110      0.4070
  -88.9357      0.2020
  -83.2803      0.2090
  -76.6042      0.2130
  -68.5130      0.2190
  -58.9741      0.2330
  -48.2011      0.2510
  -36.5597      0.2910
  -25.1396      0.3270
  -15.6048      0.3770
  -10.6377      0.4130
   12.6891      0.4200
   17.6025      0.4120
   22.6272      0.3960
  -91.6629      0.1960
  -86.6732      0.2090
  -80.7868      0.2140
  -65.9127      0.2180
  -57.3251      0.2380
  -48.7990      0.2480
  -41.3056      0.2760
  -35.8409      0.2980
  -33.0136      0.3080
  -32.5049      0.3150
  -33.5458      0.3230
   35.4672      0.3310
  -96.6104      0.1980
  -92.8212      0.2080
  -88.5483      0.2090
  -83.6697      0.2120
  -78.3661      0.2210
  -72.6560      0.2280
  -66.8394      0.2330
  -61.4055      0.2470
  -56.5519      0.2630
  -52.7788      0.2710
  -50.2034      0.2850
  -48.6668      0.2950
  -48.1220      0.3050
  -48.1327      0.3080
  -82.9515      0.2170
  -77.5822      0.2260
  -71.4307      0.2310
  -64.5000      0.2460
  -56.8355      0.2620
  -48.4763      0.2800
  -39.8785      0.2990
  -31.5580      0.3340
   24.2778      0.3820
   19.0886      0.4080
   16.7779      0.4360
   17.4722      0.4360
   20.0739      0.4220
   23.4102      0.4160
  -85.9685      0.2100
  -80.3186      0.2160
  -73.7007      0.2200
  -65.7609      0.2300
  -56.4281      0.2390
  -45.8730      0.2600
  -34.4506      0.2990
  -22.7999      0.3390
  -11.7961      0.3910
    1.9204      0.5180
    6.5995      0.4440
   13.7899      0.4250
   19.8760      0.4080
   24.8992      0.3870
  -88.0761      0.2080
  -82.5657      0.2100
  -76.0218      0.2130
  -68.2413      0.2160
  -59.1659      0.2360
  -49.1640      0.2500
  -39.0389      0.2760
  -30.2021      0.3020
  -24.3595      0.3320
  -22.5502      0.3460
  -24.1052      0.3560
   27.3086      0.3620
   30.8546      0.3530
  -94.8979      0.2060
  -90.8289      0.2050
  -86.2104      0.2080
  -80.9123      0.2070
  -74.9001      0.2200
  -68.2838      0.2240
  -61.4349      0.2330
  -54.8908      0.2460
  -49.3359      0.2650
  -45.3403      0.2760
  -43.0768      0.2960
  -42.2907      0.3000
  -42.6520      0.3020
   43.6306      0.3150
