Phase  EBF_Simu  CROP_Simu
 -100.0000      0.1812      0.3577
  -99.0000      0.1837      0.3553
  -98.0000      0.1860      0.3531
  -97.0000      0.1881      0.3509
  -96.0000      0.1900      0.3489
  -95.0000      0.1918      0.3469
  -94.0000      0.1934      0.3451
  -93.0000      0.1950      0.3433
  -92.0000      0.1964      0.3417
  -91.0000      0.1978      0.3401
  -90.0000      0.1991      0.3387
  -89.0000      0.2004      0.3373
  -88.0000      0.2016      0.3361
  -87.0000      0.2028      0.3349
  -86.0000      0.2039      0.3338
  -85.0000      0.2050      0.3328
  -84.0000      0.2061      0.3318
  -83.0000      0.2072      0.3310
  -82.0000      0.2083      0.3302
  -81.0000      0.2093      0.3295
  -80.0000      0.2104      0.3289
  -79.0000      0.2114      0.3284
  -78.0000      0.2124      0.3279
  -77.0000      0.2135      0.3275
  -76.0000      0.2146      0.3271
  -75.0000      0.2156      0.3269
  -74.0000      0.2167      0.3267
  -73.0000      0.2177      0.3265
  -72.0000      0.2188      0.3264
  -71.0000      0.2199      0.3264
  -70.0000      0.2210      0.3265
  -69.0000      0.2222      0.3266
  -68.0000      0.2233      0.3267
  -67.0000      0.2244      0.3269
  -66.0000      0.2256      0.3272
  -65.0000      0.2268      0.3275
  -64.0000      0.2280      0.3279
  -63.0000      0.2292      0.3283
  -62.0000      0.2304      0.3288
  -61.0000      0.2316      0.3293
  -60.0000      0.2329      0.3298
  -59.0000      0.2343      0.3304
  -58.0000      0.2359      0.3311
  -57.0000      0.2376      0.3319
  -56.0000      0.2394      0.3327
  -55.0000      0.2413      0.3335
  -54.0000      0.2433      0.3344
  -53.0000      0.2454      0.3354
  -52.0000      0.2475      0.3363
  -51.0000      0.2497      0.3374
  -50.0000      0.2519      0.3384
  -49.0000      0.2542      0.3395
  -48.0000      0.2566      0.3407
  -47.0000      0.2590      0.3419
  -46.0000      0.2615      0.3431
  -45.0000      0.2640      0.3444
  -44.0000      0.2665      0.3456
  -43.0000      0.2691      0.3470
  -42.0000      0.2718      0.3483
  -41.0000      0.2745      0.3497
  -40.0000      0.2772      0.3511
  -39.0000      0.2800      0.3526
  -38.0000      0.2829      0.3541
  -37.0000      0.2858      0.3556
  -36.0000      0.2887      0.3571
  -35.0000      0.2917      0.3587
  -34.0000      0.2947      0.3603
  -33.0000      0.2978      0.3619
  -32.0000      0.3009      0.3636
  -31.0000      0.3041      0.3653
  -30.0000      0.3073      0.3670
  -29.0000      0.3106      0.3687
  -28.0000      0.3139      0.3704
  -27.0000      0.3173      0.3722
  -26.0000      0.3207      0.3740
  -25.0000      0.3242      0.3758
  -24.0000      0.3277      0.3776
  -23.0000      0.3313      0.3794
  -22.0000      0.3349      0.3813
  -21.0000      0.3386      0.3832
  -20.0000      0.3424      0.3851
  -19.0000      0.3462      0.3870
  -18.0000      0.3502      0.3889
  -17.0000      0.3542      0.3908
  -16.0000      0.3584      0.3928
  -15.0000      0.3627      0.3947
  -14.0000      0.3672      0.3967
  -13.0000      0.3720      0.3988
  -12.0000      0.3771      0.4009
  -11.0000      0.3825      0.4030
  -10.0000      0.3885      0.4053
   -9.0000      0.3952      0.4078
   -8.0000      0.4028      0.4106
   -7.0000      0.4116      0.4140
   -6.0000      0.4219      0.4183
   -5.0000      0.4345      0.4241
   -4.0000      0.4499      0.4323
   -3.0000      0.4691      0.4448
   -2.0000      0.4935      0.4640
   -1.0000      0.5249      0.4947
    0.0000      0.5657      0.5442
    1.0000      0.5305      0.4989
    2.0000      0.5040      0.4717
    3.0000      0.4838      0.4555
    4.0000      0.4684      0.4461
    5.0000      0.4567      0.4409
    6.0000      0.4476      0.4381
    7.0000      0.4405      0.4368
    8.0000      0.4349      0.4365
    9.0000      0.4304      0.4367
   10.0000      0.4267      0.4373
   11.0000      0.4235      0.4381
   12.0000      0.4208      0.4390
   13.0000      0.4184      0.4400
   14.0000      0.4163      0.4410
   15.0000      0.4142      0.4421
   16.0000      0.4123      0.4431
   17.0000      0.4104      0.4442
   18.0000      0.4085      0.4453
   19.0000      0.4066      0.4464
   20.0000      0.4048      0.4476
   21.0000      0.4029      0.4487
   22.0000      0.4010      0.4498
   23.0000      0.3990      0.4510
   24.0000      0.3970      0.4522
   25.0000      0.3950      0.4534
   26.0000      0.3930      0.4546
   27.0000      0.3909      0.4559
   28.0000      0.3889      0.4572
   29.0000      0.3869      0.4586
   30.0000      0.3850      0.4600
   31.0000      0.3832      0.4615
   32.0000      0.3817      0.4630
   33.0000      0.3804      0.4647
   34.0000      0.3798      0.4665
   35.0000      0.3807      0.4685
   36.0000      0.3826      0.4708
   37.0000      0.3845      0.4731
   38.0000      0.3864      0.4755
   39.0000      0.3884      0.4780
   40.0000      0.3904      0.4806
