Phase  Observation
   30.9022      0.7296
   26.5871      0.7358
   22.0106      0.7419
   17.9082      0.7329
   15.5722      0.7311
   17.0350      0.7055
   22.2664      0.7259
  -29.6429      0.6736
  -37.6769      0.6944
  -45.6720      0.6748
  -53.1039      0.6361
  -59.8655      0.6609
  -65.8514      0.6300
  -71.0253      0.6108
  -52.1521      0.6328
  -51.1640      0.6397
  -50.4497      0.6428
  -50.3780      0.6245
  -51.0873      0.6118
  -53.1178      0.6134
  -56.4329      0.5969
  -60.8550      0.5892
  -66.0526      0.6065
  -71.5670      0.5800
  -76.9722      0.5971
  -81.8829      0.6273
  -86.1997      0.6212
  -90.1050      0.6223
  -47.4199      0.6244
  -46.1484      0.6296
  -45.4160      0.6149
  -45.5096      0.6281
  -46.8882      0.5980
  -50.0420      0.5943
  -54.8302      0.5680
  -60.7472      0.5880
  -67.2138      0.6012
  -73.4729      0.5654
  -79.2994      0.5680
  -84.3380      0.5720
  -88.8078      0.5809
  -92.6262      0.5667
   36.6381      0.6513
   32.9509      0.6610
  -29.1417      0.6560
  -25.6162      0.6321
  -23.6304      0.6474
  -25.1558      0.6231
  -30.9221      0.5968
  -39.6057      0.5919
  -49.4542      0.5640
  -58.8526      0.5613
  -67.3190      0.6002
  -74.4554      0.5947
  -80.4718      0.5640
  -85.4647      0.6021
   43.9180      0.6241
  -42.1120      0.6197
  -40.5338      0.6025
  -39.6310      0.6028
  -40.0264      0.6108
  -42.3059      0.5851
  -46.8558      0.5800
  -53.2832      0.5451
  -60.7582      0.5748
  -68.1801      0.5653
  -75.1215      0.5410
  -81.2070      0.5734
  -86.4257      0.5587
  -90.8415      0.5693
   25.4125      0.6730
   21.0080      0.6670
   16.4465      0.6697
   12.9172      0.6703
   12.5694      0.6806
   16.9954      0.6439
  -24.1256      0.6420
  -32.5137      0.5954
  -41.0526      0.6086
  -49.3558      0.5847
  -56.8804      0.6040
  -63.6729      0.6002
  -69.7026      0.5810
  -74.8971      0.5654
   26.5713      0.6409
   21.2871      0.6749
   15.1121      0.6853
    7.7852      0.6800
    0.7665      0.6663
  -10.3534      0.6543
  -20.8654      0.6117
  -31.8110      0.5985
  -42.4833      0.6120
  -52.2629      0.6007
  -60.8608      0.5981
  -68.3484      0.5535
  -74.6304      0.6047
  -80.0152      0.5967
   31.6560      0.6449
   27.4623      0.6518
   22.8523      0.6548
  -18.4810      0.6543
  -16.3067      0.6320
  -19.2393      0.6134
  -27.0331      0.5732
  -37.2345      0.5720
  -47.9057      0.5720
  -57.9312      0.5747
  -66.6699      0.5559
  -74.0428      0.5410
  -80.2447      0.5773
  -85.3414      0.5628
