Phase  Observation
  -91.7032      0.3970
  -86.2520      0.3981
  -79.5829      0.4092
  -71.7148      0.4125
  -62.3721      0.4445
  -51.6072      0.4698
  -39.9384      0.5150
  -28.4268      0.5680
  -18.2712      0.6300
  -11.5061      0.6778
   11.2106      0.6813
   15.3063      0.6645
   20.1255      0.6539
   24.5489      0.6212
  -97.5640      0.3833
  -93.1629      0.3877
  -87.8990      0.3925
  -81.6946      0.4075
  -74.5606      0.4225
  -66.3418      0.4223
  -57.5360      0.4548
  -48.7458      0.4727
  -41.1366      0.5123
  -35.5423      0.5387
  -32.4758      0.5571
  -31.6513      0.5680
   32.4645      0.5840
   34.0214      0.5946
  -97.7263      0.3895
  -93.6741      0.3998
  -89.0773      0.4031
  -83.9649      0.4092
  -78.3374      0.4234
  -72.4053      0.4413
  -66.3205      0.4485
  -60.5978      0.4658
  -55.6206      0.4955
  -51.7167      0.5106
  -48.9875      0.5154
  -47.3471      0.5372
  -46.6509      0.5458
   46.6006      0.5390
  -91.1703      0.3889
  -86.0311      0.3976
  -79.8383      0.4114
  -72.5222      0.4256
  -63.8150      0.4389
  -53.7773      0.4646
  -42.6465      0.5077
  -30.9738      0.5555
  -19.5584      0.6064
   -9.1578      0.6876
    0.2170      0.7439
    7.7382      0.7133
   14.3084      0.6713
   19.8092      0.6722
  -93.6913      0.3598
  -88.7146      0.4048
  -82.7813      0.3948
  -75.5931      0.4346
  -67.2216      0.4272
  -57.4958      0.4621
  -47.0716      0.4782
  -36.8742      0.5279
  -28.3341      0.5639
  -23.0248      0.6098
  -21.6004      0.6195
   23.2174      0.6125
   26.2052      0.6402
   29.4171      0.6297
  -94.7085      0.4014
  -90.1053      0.4035
  -84.8367      0.4130
  -78.7789      0.4180
  -72.0661      0.4262
  -64.9308      0.4473
  -57.7958      0.4592
  -51.3136      0.4889
  -46.1660      0.5149
  -42.7047      0.5327
  -40.9161      0.5527
  -40.4382      0.5680
   40.8986      0.5612
   41.9518      0.5748
  -85.8815      0.4108
  -80.3738      0.4146
  -73.8754      0.4298
  -66.2965      0.4505
  -57.5892      0.4757
  -48.0256      0.5034
  -37.8407      0.5287
  -27.7015      0.5842
  -18.5148      0.6412
   11.5638      0.6742
    9.5915      0.7014
   12.7889      0.6910
   17.4066      0.6817
   21.9110      0.6522
  -88.9357      0.4019
  -83.2803      0.4125
  -76.6042      0.4202
  -68.5130      0.4300
  -58.9741      0.4525
  -48.2011      0.4794
  -36.5597      0.5353
  -25.1396      0.5790
  -15.6048      0.6358
  -10.6377      0.6695
   12.6891      0.6793
   17.6025      0.6728
   22.6272      0.6520
  -91.6629      0.3825
  -86.6732      0.4181
  -80.7868      0.4310
  -65.9127      0.4238
  -57.3251      0.4616
  -48.7990      0.4675
  -41.3056      0.5108
  -35.8409      0.5400
  -33.0136      0.5448
  -32.5049      0.5466
  -33.5458      0.5535
   35.4672      0.5615
  -96.6104      0.3868
  -92.8212      0.4054
  -88.5483      0.4092
  -83.6697      0.4174
  -78.3661      0.4320
  -72.6560      0.4445
  -66.8394      0.4501
  -61.4055      0.4708
  -56.5519      0.4940
  -52.7788      0.5047
  -50.2034      0.5227
  -48.6668      0.5331
  -48.1220      0.5472
  -48.1327      0.5514
  -82.9515      0.4222
  -77.5822      0.4378
  -71.4307      0.4457
  -64.5000      0.4693
  -56.8355      0.4925
  -48.4763      0.5167
  -39.8785      0.5388
  -31.5580      0.5829
   24.2778      0.6406
   19.0886      0.6650
   16.7779      0.6934
   17.4722      0.6919
   20.0739      0.6727
   23.4102      0.6672
  -85.9685      0.4075
  -80.3186      0.4195
  -73.7007      0.4281
  -65.7609      0.4453
  -56.4281      0.4583
  -45.8730      0.4882
  -34.4506      0.5428
  -22.7999      0.5895
  -11.7961      0.6430
    1.9204      0.7580
    6.5995      0.6906
   13.7899      0.6762
   19.8760      0.6635
   24.8992      0.6367
  -88.0761      0.4097
  -82.5657      0.4152
  -76.0218      0.4202
  -68.2413      0.4262
  -59.1659      0.4609
  -49.1640      0.4767
  -39.0389      0.5134
  -30.2021      0.5457
  -24.3595      0.5829
  -22.5502      0.5960
  -24.1052      0.6076
   27.3086      0.6153
   30.8546      0.6037
  -94.8979      0.3937
  -90.8289      0.3962
  -86.2104      0.4043
  -80.9123      0.4037
  -74.9001      0.4270
  -68.2838      0.4334
  -61.4349      0.4466
  -54.8908      0.4668
  -49.3359      0.4945
  -45.3403      0.5082
  -43.0768      0.5358
  -42.2907      0.5376
  -42.6520      0.5377
   43.6306      0.5558
