Phase  EBF_Simu  CROP_Simu
 -100.0000      0.3608      0.5972
  -99.0000      0.3656      0.5953
  -98.0000      0.3700      0.5934
  -97.0000      0.3740      0.5916
  -96.0000      0.3777      0.5899
  -95.0000      0.3811      0.5883
  -94.0000      0.3843      0.5867
  -93.0000      0.3873      0.5852
  -92.0000      0.3902      0.5838
  -91.0000      0.3928      0.5825
  -90.0000      0.3954      0.5812
  -89.0000      0.3978      0.5800
  -88.0000      0.4001      0.5789
  -87.0000      0.4024      0.5779
  -86.0000      0.4045      0.5769
  -85.0000      0.4066      0.5760
  -84.0000      0.4087      0.5752
  -83.0000      0.4107      0.5745
  -82.0000      0.4126      0.5738
  -81.0000      0.4145      0.5732
  -80.0000      0.4164      0.5727
  -79.0000      0.4183      0.5722
  -78.0000      0.4201      0.5718
  -77.0000      0.4220      0.5715
  -76.0000      0.4238      0.5712
  -75.0000      0.4256      0.5710
  -74.0000      0.4274      0.5709
  -73.0000      0.4292      0.5708
  -72.0000      0.4310      0.5708
  -71.0000      0.4328      0.5708
  -70.0000      0.4346      0.5709
  -69.0000      0.4364      0.5711
  -68.0000      0.4382      0.5713
  -67.0000      0.4400      0.5715
  -66.0000      0.4418      0.5718
  -65.0000      0.4436      0.5722
  -64.0000      0.4455      0.5726
  -63.0000      0.4473      0.5731
  -62.0000      0.4491      0.5735
  -61.0000      0.4510      0.5741
  -60.0000      0.4528      0.5747
  -59.0000      0.4549      0.5753
  -58.0000      0.4573      0.5761
  -57.0000      0.4598      0.5768
  -56.0000      0.4625      0.5777
  -55.0000      0.4653      0.5786
  -54.0000      0.4682      0.5795
  -53.0000      0.4712      0.5805
  -52.0000      0.4742      0.5815
  -51.0000      0.4774      0.5825
  -50.0000      0.4806      0.5836
  -49.0000      0.4838      0.5848
  -48.0000      0.4872      0.5859
  -47.0000      0.4905      0.5871
  -46.0000      0.4940      0.5884
  -45.0000      0.4975      0.5896
  -44.0000      0.5010      0.5909
  -43.0000      0.5046      0.5923
  -42.0000      0.5082      0.5936
  -41.0000      0.5118      0.5950
  -40.0000      0.5155      0.5964
  -39.0000      0.5192      0.5978
  -38.0000      0.5230      0.5993
  -37.0000      0.5268      0.6007
  -36.0000      0.5306      0.6022
  -35.0000      0.5345      0.6038
  -34.0000      0.5385      0.6053
  -33.0000      0.5424      0.6069
  -32.0000      0.5464      0.6085
  -31.0000      0.5505      0.6101
  -30.0000      0.5546      0.6117
  -29.0000      0.5587      0.6133
  -28.0000      0.5628      0.6149
  -27.0000      0.5670      0.6166
  -26.0000      0.5712      0.6183
  -25.0000      0.5754      0.6199
  -24.0000      0.5797      0.6216
  -23.0000      0.5840      0.6233
  -22.0000      0.5883      0.6250
  -21.0000      0.5927      0.6267
  -20.0000      0.5972      0.6285
  -19.0000      0.6017      0.6302
  -18.0000      0.6063      0.6319
  -17.0000      0.6109      0.6337
  -16.0000      0.6157      0.6354
  -15.0000      0.6206      0.6372
  -14.0000      0.6256      0.6390
  -13.0000      0.6308      0.6408
  -12.0000      0.6363      0.6426
  -11.0000      0.6421      0.6445
  -10.0000      0.6482      0.6465
   -9.0000      0.6550      0.6487
   -8.0000      0.6624      0.6511
   -7.0000      0.6707      0.6539
   -6.0000      0.6801      0.6575
   -5.0000      0.6910      0.6621
   -4.0000      0.7038      0.6687
   -3.0000      0.7190      0.6781
   -2.0000      0.7371      0.6922
   -1.0000      0.7588      0.7133
    0.0000      0.7846      0.7445
    1.0000      0.7629      0.7161
    2.0000      0.7453      0.6977
    3.0000      0.7310      0.6862
    4.0000      0.7196      0.6793
    5.0000      0.7104      0.6753
    6.0000      0.7029      0.6731
    7.0000      0.6969      0.6721
    8.0000      0.6918      0.6717
    9.0000      0.6875      0.6718
   10.0000      0.6838      0.6721
   11.0000      0.6805      0.6726
   12.0000      0.6776      0.6732
   13.0000      0.6748      0.6738
   14.0000      0.6722      0.6744
   15.0000      0.6696      0.6751
   16.0000      0.6671      0.6758
   17.0000      0.6646      0.6764
   18.0000      0.6621      0.6771
   19.0000      0.6596      0.6778
   20.0000      0.6571      0.6785
   21.0000      0.6545      0.6792
   22.0000      0.6518      0.6799
   23.0000      0.6491      0.6806
   24.0000      0.6464      0.6813
   25.0000      0.6435      0.6820
   26.0000      0.6407      0.6827
   27.0000      0.6378      0.6835
   28.0000      0.6350      0.6843
   29.0000      0.6321      0.6851
   30.0000      0.6293      0.6859
   31.0000      0.6267      0.6868
   32.0000      0.6243      0.6878
   33.0000      0.6223      0.6888
   34.0000      0.6210      0.6900
   35.0000      0.6215      0.6914
   36.0000      0.6231      0.6929
   37.0000      0.6248      0.6946
   38.0000      0.6264      0.6962
   39.0000      0.6281      0.6979
   40.0000      0.6298      0.6997
