Phase  Observation
   30.9022      0.8050
   26.5871      0.8090
   22.0106      0.8243
   17.9082      0.8084
   15.5722      0.8182
   17.0350      0.7692
   22.2664      0.7922
  -29.6429      0.7369
  -37.6769      0.7555
  -45.6720      0.7348
  -53.1039      0.6969
  -59.8655      0.7373
  -65.8514      0.7056
  -71.0253      0.6642
  -52.1521      0.7461
  -51.1640      0.6971
  -50.4497      0.6988
  -50.3780      0.6851
  -51.0873      0.6734
  -53.1178      0.6642
  -56.4329      0.6416
  -60.8550      0.6373
  -66.0526      0.6451
  -71.5670      0.6276
  -76.9722      0.6404
  -81.8829      0.6760
  -86.1997      0.6727
  -90.1050      0.6756
  -47.4199      0.7267
  -46.1484      0.7167
  -45.4160      0.6929
  -45.5096      0.6983
  -46.8882      0.6533
  -50.0420      0.6444
  -54.8302      0.6166
  -60.7472      0.6362
  -67.2138      0.6484
  -73.4729      0.6136
  -79.2994      0.6250
  -84.3380      0.6397
  -88.8078      0.6598
  -92.6262      0.6531
   36.6381      0.7128
   32.9509      0.7289
  -29.1417      0.7103
  -25.6162      0.6851
  -23.6304      0.6980
  -25.1558      0.6671
  -30.9221      0.6363
  -39.6057      0.6314
  -49.4542      0.5972
  -58.8526      0.5863
  -67.3190      0.6351
  -74.4554      0.6225
  -80.4718      0.5923
  -85.4647      0.6351
   43.9180      0.6983
  -42.1120      0.6960
  -40.5338      0.6683
  -39.6310      0.6635
  -40.0264      0.6689
  -42.3059      0.6345
  -46.8558      0.6259
  -53.2832      0.5856
  -60.7582      0.6138
  -68.1801      0.6124
  -75.1215      0.5780
  -81.2070      0.6259
  -86.4257      0.6099
  -90.8415      0.6313
   25.4125      0.7939
   21.0080      0.7879
   16.4465      0.7821
   12.9172      0.7703
   12.5694      0.7951
   16.9954      0.7400
  -24.1256      0.7280
  -32.5137      0.6737
  -41.0526      0.6802
  -49.3558      0.6561
  -56.8804      0.6836
  -63.6729      0.6757
  -69.7026      0.6582
  -74.8971      0.6389
   26.5713      0.7483
   21.2871      0.7961
   15.1121      0.8125
    7.7852      0.7858
    0.7665      0.7726
  -10.3534      0.7293
  -20.8654      0.6773
  -31.8110      0.6566
  -42.4833      0.6681
  -52.2629      0.6457
  -60.8608      0.6517
  -68.3484      0.6162
  -74.6304      0.6663
  -80.0152      0.6743
   31.6560      0.7286
   27.4623      0.7510
   22.8523      0.7449
  -18.4810      0.7321
  -16.3067      0.7007
  -19.2393      0.6688
  -27.0331      0.6280
  -37.2345      0.6224
  -47.9057      0.6157
  -57.9312      0.6222
  -66.6699      0.5921
  -74.0428      0.5829
  -80.2447      0.6299
  -85.3414      0.6157
