Phase  Observation
  -91.7032      0.4412
  -86.2520      0.4216
  -79.5829      0.4318
  -71.7148      0.4325
  -62.3721      0.4615
  -51.6072      0.4847
  -39.9384      0.5483
  -28.4268      0.6019
  -18.2712      0.6661
  -11.5061      0.7265
   11.2106      0.7413
   15.3063      0.7293
   20.1255      0.7013
   24.5489      0.6720
  -97.5640      0.4205
  -93.1629      0.4158
  -87.8990      0.4224
  -81.6946      0.4329
  -74.5606      0.4403
  -66.3418      0.4428
  -57.5360      0.4750
  -48.7458      0.4964
  -41.1366      0.5438
  -35.5423      0.5762
  -32.4758      0.6004
  -31.6513      0.6171
   32.4645      0.6356
   34.0214      0.6504
  -97.7263      0.4216
  -93.6741      0.4370
  -89.0773      0.4268
  -83.9649      0.4318
  -78.3374      0.4399
  -72.4053      0.4582
  -66.3205      0.4657
  -60.5978      0.4923
  -55.6206      0.5201
  -51.7167      0.5342
  -48.9875      0.5422
  -47.3471      0.5697
  -46.6509      0.5786
   46.6006      0.5681
  -91.1703      0.4251
  -86.0311      0.4263
  -79.8383      0.4354
  -72.5222      0.4489
  -63.8150      0.4586
  -53.7773      0.4866
  -42.6465      0.5311
  -30.9738      0.5922
  -19.5584      0.6503
   -9.1578      0.7439
    0.2170      0.7955
    7.7382      0.7958
   14.3084      0.7456
   19.8092      0.7531
  -93.6913      0.4072
  -88.7146      0.4482
  -82.7813      0.4261
  -75.5931      0.4500
  -67.2216      0.4478
  -57.4958      0.4797
  -47.0716      0.4992
  -36.8742      0.5489
  -28.3341      0.6027
  -23.0248      0.6579
  -21.6004      0.6732
   23.2174      0.6441
   26.2052      0.7031
   29.4171      0.7115
  -94.7085      0.4210
  -90.1053      0.4233
  -84.8367      0.4278
  -78.7789      0.4329
  -72.0661      0.4414
  -64.9308      0.4630
  -57.7958      0.4724
  -51.3136      0.5103
  -46.1660      0.5402
  -42.7047      0.5585
  -40.9161      0.5859
  -40.4382      0.6035
   40.8986      0.6013
   41.9518      0.6138
  -85.8815      0.4443
  -80.3738      0.4428
  -73.8754      0.4560
  -66.2965      0.4777
  -57.5892      0.5056
  -48.0256      0.5345
  -37.8407      0.5592
  -27.7015      0.6271
  -18.5148      0.6937
   11.5638      0.7334
    9.5915      0.7733
   12.7889      0.7601
   17.4066      0.7527
   21.9110      0.7193
  -88.9357      0.4311
  -83.2803      0.4272
  -76.6042      0.4365
  -68.5130      0.4412
  -58.9741      0.4641
  -48.2011      0.4931
  -36.5597      0.5581
  -25.1396      0.6114
  -15.6048      0.6773
  -10.6377      0.7138
   12.6891      0.7297
   17.6025      0.7308
   22.6272      0.7031
  -91.6629      0.3940
  -86.6732      0.4571
  -80.7868      0.4289
  -65.9127      0.4402
  -57.3251      0.4777
  -48.7990      0.4925
  -41.3056      0.5328
  -35.8409      0.5760
  -33.0136      0.5757
  -32.5049      0.5805
  -33.5458      0.5957
   35.4672      0.6175
  -96.6104      0.4227
  -92.8212      0.4264
  -88.5483      0.4304
  -83.6697      0.4459
  -78.3661      0.4557
  -72.6560      0.4672
  -66.8394      0.4673
  -61.4055      0.4960
  -56.5519      0.5185
  -52.7788      0.5375
  -50.2034      0.5595
  -48.6668      0.5753
  -48.1220      0.5902
  -48.1327      0.6051
  -82.9515      0.4439
  -77.5822      0.4588
  -71.4307      0.4642
  -64.5000      0.4885
  -56.8355      0.5139
  -48.4763      0.5420
  -39.8785      0.5713
  -31.5580      0.6257
   24.2778      0.6915
   19.0886      0.7262
   16.7779      0.7577
   17.4722      0.7541
   20.0739      0.7337
   23.4102      0.7376
  -85.9685      0.4436
  -80.3186      0.4508
  -73.7007      0.4544
  -65.7609      0.4681
  -56.4281      0.4801
  -45.8730      0.5140
  -34.4506      0.5772
  -22.7999      0.6292
  -11.7961      0.6935
    1.9204      0.8235
    6.5995      0.7616
   13.7899      0.7490
   19.8760      0.7424
   24.8992      0.7193
  -88.0761      0.4364
  -82.5657      0.4395
  -76.0218      0.4392
  -68.2413      0.4414
  -59.1659      0.4712
  -49.1640      0.4917
  -39.0389      0.5386
  -30.2021      0.5785
  -24.3595      0.6189
  -22.5502      0.6358
  -24.1052      0.6532
   27.3086      0.6650
   30.8546      0.6564
  -94.8979      0.4553
  -90.8289      0.4468
  -86.2104      0.4487
  -80.9123      0.4354
  -74.9001      0.4603
  -68.2838      0.4642
  -61.4349      0.4736
  -54.8908      0.4978
  -49.3359      0.5315
  -45.3403      0.5459
  -43.0768      0.5799
  -42.2907      0.5866
  -42.6520      0.5936
   43.6306      0.6093
