Phase  EBF_Simu  CROP_Simu
 -100.0000      0.3919      0.6758
  -99.0000      0.3960      0.6709
  -98.0000      0.3997      0.6663
  -97.0000      0.4031      0.6619
  -96.0000      0.4061      0.6577
  -95.0000      0.4090      0.6537
  -94.0000      0.4116      0.6500
  -93.0000      0.4140      0.6465
  -92.0000      0.4163      0.6432
  -91.0000      0.4184      0.6400
  -90.0000      0.4205      0.6371
  -89.0000      0.4224      0.6343
  -88.0000      0.4243      0.6318
  -87.0000      0.4261      0.6293
  -86.0000      0.4279      0.6271
  -85.0000      0.4296      0.6250
  -84.0000      0.4313      0.6231
  -83.0000      0.4329      0.6213
  -82.0000      0.4346      0.6197
  -81.0000      0.4362      0.6182
  -80.0000      0.4379      0.6168
  -79.0000      0.4395      0.6156
  -78.0000      0.4411      0.6145
  -77.0000      0.4428      0.6135
  -76.0000      0.4444      0.6127
  -75.0000      0.4461      0.6120
  -74.0000      0.4478      0.6114
  -73.0000      0.4495      0.6109
  -72.0000      0.4512      0.6105
  -71.0000      0.4529      0.6102
  -70.0000      0.4547      0.6100
  -69.0000      0.4565      0.6100
  -68.0000      0.4583      0.6100
  -67.0000      0.4601      0.6101
  -66.0000      0.4619      0.6103
  -65.0000      0.4638      0.6106
  -64.0000      0.4657      0.6110
  -63.0000      0.4676      0.6115
  -62.0000      0.4696      0.6121
  -61.0000      0.4715      0.6127
  -60.0000      0.4735      0.6134
  -59.0000      0.4757      0.6142
  -58.0000      0.4783      0.6151
  -57.0000      0.4810      0.6161
  -56.0000      0.4838      0.6171
  -55.0000      0.4868      0.6182
  -54.0000      0.4900      0.6193
  -53.0000      0.4932      0.6205
  -52.0000      0.4965      0.6218
  -51.0000      0.4999      0.6231
  -50.0000      0.5033      0.6245
  -49.0000      0.5069      0.6260
  -48.0000      0.5105      0.6275
  -47.0000      0.5141      0.6290
  -46.0000      0.5179      0.6306
  -45.0000      0.5217      0.6323
  -44.0000      0.5255      0.6340
  -43.0000      0.5295      0.6357
  -42.0000      0.5334      0.6375
  -41.0000      0.5374      0.6394
  -40.0000      0.5415      0.6412
  -39.0000      0.5456      0.6431
  -38.0000      0.5498      0.6451
  -37.0000      0.5540      0.6471
  -36.0000      0.5582      0.6491
  -35.0000      0.5625      0.6511
  -34.0000      0.5669      0.6532
  -33.0000      0.5713      0.6553
  -32.0000      0.5758      0.6575
  -31.0000      0.5803      0.6597
  -30.0000      0.5848      0.6619
  -29.0000      0.5894      0.6641
  -28.0000      0.5940      0.6663
  -27.0000      0.5986      0.6686
  -26.0000      0.6033      0.6709
  -25.0000      0.6081      0.6731
  -24.0000      0.6128      0.6754
  -23.0000      0.6177      0.6778
  -22.0000      0.6226      0.6801
  -21.0000      0.6275      0.6824
  -20.0000      0.6325      0.6848
  -19.0000      0.6376      0.6871
  -18.0000      0.6427      0.6895
  -17.0000      0.6480      0.6919
  -16.0000      0.6534      0.6942
  -15.0000      0.6590      0.6966
  -14.0000      0.6647      0.6990
  -13.0000      0.6708      0.7015
  -12.0000      0.6772      0.7040
  -11.0000      0.6841      0.7066
  -10.0000      0.6916      0.7093
   -9.0000      0.7000      0.7124
   -8.0000      0.7094      0.7159
   -7.0000      0.7202      0.7201
   -6.0000      0.7329      0.7257
   -5.0000      0.7481      0.7334
   -4.0000      0.7664      0.7446
   -3.0000      0.7890      0.7616
   -2.0000      0.8170      0.7880
   -1.0000      0.8518      0.8296
    0.0000      0.8952      0.8953
    1.0000      0.8577      0.8349
    2.0000      0.8283      0.7979
    3.0000      0.8055      0.7757
    4.0000      0.7878      0.7629
    5.0000      0.7740      0.7558
    6.0000      0.7633      0.7523
    7.0000      0.7550      0.7510
    8.0000      0.7484      0.7511
    9.0000      0.7431      0.7519
   10.0000      0.7388      0.7532
   11.0000      0.7353      0.7549
   12.0000      0.7322      0.7568
   13.0000      0.7296      0.7587
   14.0000      0.7272      0.7608
   15.0000      0.7250      0.7629
   16.0000      0.7229      0.7650
   17.0000      0.7209      0.7672
   18.0000      0.7190      0.7695
   19.0000      0.7170      0.7717
   20.0000      0.7150      0.7740
   21.0000      0.7131      0.7764
   22.0000      0.7110      0.7787
   23.0000      0.7090      0.7812
   24.0000      0.7069      0.7836
   25.0000      0.7047      0.7862
   26.0000      0.7026      0.7887
   27.0000      0.7004      0.7914
   28.0000      0.6983      0.7941
   29.0000      0.6962      0.7969
   30.0000      0.6941      0.7997
   31.0000      0.6923      0.8026
   32.0000      0.6906      0.8056
   33.0000      0.6894      0.8087
   34.0000      0.6890      0.8119
   35.0000      0.6903      0.8150
   36.0000      0.6928      0.8182
   37.0000      0.6954      0.8215
   38.0000      0.6980      0.8249
   39.0000      0.7006      0.8285
   40.0000      0.7033      0.8322
