Phase  Observation
   30.9022      0.8357
   26.5871      0.8299
   22.0106      0.8414
   17.9082      0.8365
   15.5722      0.8262
   17.0350      0.8214
   22.2664      0.8587
  -29.6429      0.8397
  -37.6769      0.8632
  -45.6720      0.8522
  -53.1039      0.8228
  -59.8655      0.8392
  -65.8514      0.8209
  -71.0253      0.7996
  -52.1521      0.8280
  -51.1640      0.8239
  -50.4497      0.8340
  -50.3780      0.8319
  -51.0873      0.8247
  -53.1178      0.8318
  -56.4329      0.8302
  -60.8550      0.8350
  -66.0526      0.8547
  -71.5670      0.8321
  -76.9722      0.8410
  -81.8829      0.8638
  -86.1997      0.8409
  -90.1050      0.8378
  -47.4199      0.8071
  -46.1484      0.8147
  -45.4160      0.8099
  -45.5096      0.8297
  -46.8882      0.8237
  -50.0420      0.8329
  -54.8302      0.8246
  -60.7472      0.8420
  -67.2138      0.8495
  -73.4729      0.8164
  -79.2994      0.8137
  -84.3380      0.8082
  -88.8078      0.7982
  -92.6262      0.7834
   36.6381      0.8215
   32.9509      0.8273
  -29.1417      0.8229
  -25.6162      0.8155
  -23.6304      0.8323
  -25.1558      0.8282
  -30.9221      0.8267
  -39.6057      0.8394
  -49.4542      0.8270
  -58.8526      0.8299
  -67.3190      0.8607
  -74.4554      0.8515
  -80.4718      0.8308
  -85.4647      0.8353
   43.9180      0.8012
  -42.1120      0.8085
  -40.5338      0.8057
  -39.6310      0.8153
  -40.0264      0.8311
  -42.3059      0.8230
  -46.8558      0.8358
  -53.2832      0.8168
  -60.7582      0.8497
  -68.1801      0.8429
  -75.1215      0.8153
  -81.2070      0.8338
  -86.4257      0.8141
  -90.8415      0.8038
   25.4125      0.7651
   21.0080      0.7671
   16.4465      0.7639
   12.9172      0.7600
   12.5694      0.7763
   16.9954      0.7721
  -24.1256      0.7911
  -32.5137      0.7741
  -41.0526      0.8048
  -49.3558      0.7933
  -56.8804      0.8157
  -63.6729      0.8145
  -69.7026      0.8014
  -74.8971      0.7860
   26.5713      0.7509
   21.2871      0.7809
   15.1121      0.7889
    7.7852      0.7718
    0.7665      0.7216
  -10.3534      0.7903
  -20.8654      0.7912
  -31.8110      0.7982
  -42.4833      0.8281
  -52.2629      0.8314
  -60.8608      0.8271
  -68.3484      0.8015
  -74.6304      0.8361
  -80.0152      0.8233
   31.6560      0.7845
   27.4623      0.7996
   22.8523      0.8086
  -18.4810      0.8031
  -16.3067      0.7956
  -19.2393      0.8034
  -27.0331      0.7921
  -37.2345      0.8222
  -47.9057      0.8296
  -57.9312      0.8380
  -66.6699      0.8243
  -74.0428      0.8115
  -80.2447      0.8276
  -85.3414      0.8049
