Phase  Observation
  -91.7032      0.8410
  -86.2520      0.8481
  -79.5829      0.8589
  -71.7148      0.8601
  -62.3721      0.8769
  -51.6072      0.8841
  -39.9384      0.8687
  -28.4268      0.8778
  -18.2712      0.8682
  -11.5061      0.8592
   11.2106      0.8477
   15.3063      0.8402
   20.1255      0.8403
   24.5489      0.8151
  -97.5640      0.8220
  -93.1629      0.8305
  -87.8990      0.8528
  -81.6946      0.9018
  -74.5606      0.9056
  -66.3418      0.8635
  -57.5360      0.8676
  -48.7458      0.8616
  -41.1366      0.8629
  -35.5423      0.8563
  -32.4758      0.8486
  -31.6513      0.8478
   32.4645      0.8408
   34.0214      0.8439
  -97.7263      0.8122
  -93.6741      0.8487
  -89.0773      0.8500
  -83.9649      0.8589
  -78.3374      0.8704
  -72.4053      0.8760
  -66.3205      0.8657
  -60.5978      0.8710
  -55.6206      0.8684
  -51.7167      0.8675
  -48.9875      0.8589
  -47.3471      0.8605
  -46.6509      0.8539
   46.6006      0.8431
  -91.1703      0.8182
  -86.0311      0.8347
  -79.8383      0.8531
  -72.5222      0.8645
  -63.8150      0.8626
  -53.7773      0.8648
  -42.6465      0.8667
  -30.9738      0.8655
  -19.5584      0.8510
   -9.1578      0.8434
    0.2170      0.7746
    7.7382      0.8312
   14.3084      0.8275
   19.8092      0.8363
  -93.6913      0.7391
  -88.7146      0.8506
  -82.7813      0.8468
  -75.5931      0.9554
  -67.2216      0.8651
  -57.4958      0.9077
  -47.0716      0.8746
  -36.8742      0.8824
  -28.3341      0.8722
  -23.0248      0.8750
  -21.6004      0.8582
   23.2174      0.8419
   26.2052      0.8707
   29.4171      0.8608
  -94.7085      0.8701
  -90.1053      0.8855
  -84.8367      0.8739
  -78.7789      0.8755
  -72.0661      0.8780
  -64.9308      0.8842
  -57.7958      0.8750
  -51.3136      0.8776
  -46.1660      0.8738
  -42.7047      0.8687
  -40.9161      0.8648
  -40.4382      0.8645
   40.8986      0.8499
   41.9518      0.8497
  -85.8815      0.8217
  -80.3738      0.8353
  -73.8754      0.8533
  -66.2965      0.8603
  -57.5892      0.8625
  -48.0256      0.8603
  -37.8407      0.8534
  -27.7015      0.8524
  -18.5148      0.8465
   11.5638      0.8340
    9.5915      0.8306
   12.7889      0.8250
   17.4066      0.8304
   21.9110      0.8189
  -88.9357      0.8632
  -83.2803      0.8601
  -76.6042      0.8694
  -68.5130      0.8725
  -58.9741      0.8792
  -48.2011      0.8807
  -36.5597      0.8792
  -25.1396      0.8674
  -15.6048      0.8588
  -10.6377      0.8446
   12.6891      0.8502
   17.6025      0.8548
   22.6272      0.8462
  -91.6629      0.7967
  -86.6732      0.8970
  -80.7868      0.9304
  -65.9127      0.8450
  -57.3251      0.8881
  -48.7990      0.8435
  -41.3056      0.8625
  -35.8409      0.8613
  -33.0136      0.8324
  -32.5049      0.8098
  -33.5458      0.8015
   35.4672      0.7976
  -96.6104      0.8049
  -92.8212      0.8254
  -88.5483      0.8394
  -83.6697      0.8618
  -78.3661      0.8667
  -72.6560      0.8769
  -66.8394      0.8662
  -61.4055      0.8667
  -56.5519      0.8680
  -52.7788      0.8658
  -50.2034      0.8610
  -48.6668      0.8501
  -48.1220      0.8543
  -48.1327      0.8556
  -82.9515      0.8444
  -77.5822      0.8561
  -71.4307      0.8587
  -64.5000      0.8662
  -56.8355      0.8675
  -48.4763      0.8642
  -39.8785      0.8519
  -31.5580      0.8520
   24.2778      0.8565
   19.0886      0.8465
   16.7779      0.8450
   17.4722      0.8417
   20.0739      0.8307
   23.4102      0.8320
  -85.9685      0.8203
  -80.3186      0.8372
  -73.7007      0.8527
  -65.7609      0.8647
  -56.4281      0.8628
  -45.8730      0.8609
  -34.4506      0.8667
  -22.7999      0.8539
  -11.7961      0.8373
    1.9204      0.8222
    6.5995      0.8222
   13.7899      0.8317
   19.8760      0.8430
   24.8992      0.8323
  -88.0761      0.8525
  -82.5657      0.8678
  -76.0218      0.8694
  -68.2413      0.8780
  -59.1659      0.9008
  -49.1640      0.8741
  -39.0389      0.8734
  -30.2021      0.8629
  -24.3595      0.8601
  -22.5502      0.8480
  -24.1052      0.8476
   27.3086      0.8498
   30.8546      0.8465
  -94.8979      0.7744
  -90.8289      0.7977
  -86.2104      0.8189
  -80.9123      0.8247
  -74.9001      0.8462
  -68.2838      0.8485
  -61.4349      0.8473
  -54.8908      0.8542
  -49.3359      0.8576
  -45.3403      0.8519
  -43.0768      0.8555
  -42.2907      0.8427
  -42.6520      0.8343
   43.6306      0.8400
