Phase  EBF_Simu  CROP_Simu
 -100.0000      0.8058      0.8133
  -99.0000      0.8117      0.8153
  -98.0000      0.8172      0.8171
  -97.0000      0.8222      0.8189
  -96.0000      0.8270      0.8207
  -95.0000      0.8314      0.8223
  -94.0000      0.8355      0.8240
  -93.0000      0.8394      0.8255
  -92.0000      0.8430      0.8270
  -91.0000      0.8464      0.8284
  -90.0000      0.8496      0.8297
  -89.0000      0.8526      0.8310
  -88.0000      0.8553      0.8322
  -87.0000      0.8580      0.8333
  -86.0000      0.8604      0.8344
  -85.0000      0.8627      0.8354
  -84.0000      0.8648      0.8363
  -83.0000      0.8668      0.8372
  -82.0000      0.8686      0.8380
  -81.0000      0.8703      0.8388
  -80.0000      0.8719      0.8395
  -79.0000      0.8734      0.8401
  -78.0000      0.8747      0.8407
  -77.0000      0.8759      0.8412
  -76.0000      0.8770      0.8417
  -75.0000      0.8780      0.8421
  -74.0000      0.8789      0.8424
  -73.0000      0.8797      0.8427
  -72.0000      0.8804      0.8430
  -71.0000      0.8810      0.8432
  -70.0000      0.8815      0.8433
  -69.0000      0.8819      0.8434
  -68.0000      0.8823      0.8435
  -67.0000      0.8825      0.8435
  -66.0000      0.8827      0.8434
  -65.0000      0.8828      0.8433
  -64.0000      0.8829      0.8432
  -63.0000      0.8829      0.8430
  -62.0000      0.8828      0.8428
  -61.0000      0.8827      0.8426
  -60.0000      0.8825      0.8423
  -59.0000      0.8823      0.8420
  -58.0000      0.8821      0.8416
  -57.0000      0.8819      0.8413
  -56.0000      0.8816      0.8409
  -55.0000      0.8814      0.8405
  -54.0000      0.8811      0.8400
  -53.0000      0.8808      0.8395
  -52.0000      0.8804      0.8390
  -51.0000      0.8801      0.8385
  -50.0000      0.8797      0.8380
  -49.0000      0.8793      0.8374
  -48.0000      0.8789      0.8369
  -47.0000      0.8784      0.8363
  -46.0000      0.8780      0.8357
  -45.0000      0.8775      0.8350
  -44.0000      0.8770      0.8344
  -43.0000      0.8766      0.8337
  -42.0000      0.8761      0.8331
  -41.0000      0.8756      0.8324
  -40.0000      0.8751      0.8317
  -39.0000      0.8745      0.8310
  -38.0000      0.8740      0.8303
  -37.0000      0.8735      0.8296
  -36.0000      0.8730      0.8289
  -35.0000      0.8724      0.8281
  -34.0000      0.8719      0.8274
  -33.0000      0.8714      0.8267
  -32.0000      0.8709      0.8259
  -31.0000      0.8703      0.8252
  -30.0000      0.8698      0.8244
  -29.0000      0.8693      0.8237
  -28.0000      0.8688      0.8229
  -27.0000      0.8683      0.8222
  -26.0000      0.8678      0.8214
  -25.0000      0.8673      0.8207
  -24.0000      0.8668      0.8199
  -23.0000      0.8663      0.8192
  -22.0000      0.8659      0.8184
  -21.0000      0.8654      0.8177
  -20.0000      0.8649      0.8170
  -19.0000      0.8644      0.8163
  -18.0000      0.8639      0.8155
  -17.0000      0.8634      0.8148
  -16.0000      0.8628      0.8141
  -15.0000      0.8622      0.8134
  -14.0000      0.8615      0.8127
  -13.0000      0.8608      0.8120
  -12.0000      0.8598      0.8113
  -11.0000      0.8587      0.8105
  -10.0000      0.8574      0.8097
   -9.0000      0.8557      0.8089
   -8.0000      0.8536      0.8079
   -7.0000      0.8509      0.8067
   -6.0000      0.8475      0.8051
   -5.0000      0.8432      0.8028
   -4.0000      0.8378      0.7997
   -3.0000      0.8312      0.7950
   -2.0000      0.8231      0.7883
   -1.0000      0.8135      0.7786
    0.0000      0.8024      0.7656
    1.0000      0.8126      0.7775
    2.0000      0.8212      0.7860
    3.0000      0.8282      0.7915
    4.0000      0.8336      0.7948
    5.0000      0.8377      0.7967
    6.0000      0.8407      0.7976
    7.0000      0.8427      0.7979
    8.0000      0.8440      0.7978
    9.0000      0.8447      0.7975
   10.0000      0.8449      0.7970
   11.0000      0.8447      0.7965
   12.0000      0.8443      0.7959
   13.0000      0.8437      0.7953
   14.0000      0.8428      0.7946
   15.0000      0.8419      0.7940
   16.0000      0.8408      0.7933
   17.0000      0.8396      0.7926
   18.0000      0.8384      0.7919
   19.0000      0.8371      0.7912
   20.0000      0.8357      0.7906
   21.0000      0.8343      0.7899
   22.0000      0.8328      0.7891
   23.0000      0.8312      0.7884
   24.0000      0.8296      0.7877
   25.0000      0.8280      0.7870
   26.0000      0.8263      0.7862
   27.0000      0.8246      0.7855
   28.0000      0.8228      0.7847
   29.0000      0.8210      0.7839
   30.0000      0.8192      0.7831
   31.0000      0.8174      0.7823
   32.0000      0.8156      0.7816
   33.0000      0.8138      0.7808
   34.0000      0.8122      0.7800
   35.0000      0.8111      0.7792
   36.0000      0.8102      0.7785
   37.0000      0.8093      0.7778
   38.0000      0.8084      0.7770
   39.0000      0.8074      0.7763
   40.0000      0.8064      0.7755
