Phase  Observation
   30.9022      0.4387
   26.5871      0.4465
   22.0106      0.4493
   17.9082      0.4417
   15.5722      0.4429
   17.0350      0.4189
   22.2664      0.4294
  -29.6429      0.3854
  -37.6769      0.3997
  -45.6720      0.3843
  -53.1039      0.3554
  -59.8655      0.3743
  -65.8514      0.3505
  -71.0253      0.3374
  -52.1521      0.3519
  -51.1640      0.3584
  -50.4497      0.3595
  -50.3780      0.3444
  -51.0873      0.3348
  -53.1178      0.3352
  -56.4329      0.3221
  -60.8550      0.3156
  -66.0526      0.3274
  -71.5670      0.3087
  -76.9722      0.3212
  -81.8829      0.3429
  -86.1997      0.3406
  -90.1050      0.3418
  -47.4199      0.3479
  -46.1484      0.3512
  -45.4160      0.3394
  -45.5096      0.3476
  -46.8882      0.3237
  -50.0420      0.3198
  -54.8302      0.3001
  -60.7472      0.3141
  -67.2138      0.3237
  -73.4729      0.2988
  -79.2994      0.3011
  -84.3380      0.3047
  -88.8078      0.3129
  -92.6262      0.3032
   36.6381      0.3689
   32.9509      0.3764
  -29.1417      0.3728
  -25.6162      0.3531
  -23.6304      0.3637
  -25.1558      0.3437
  -30.9221      0.3224
  -39.6057      0.3173
  -49.4542      0.2969
  -58.8526      0.2946
  -67.3190      0.3219
  -74.4554      0.3185
  -80.4718      0.2966
  -85.4647      0.3258
   43.9180      0.3485
  -42.1120      0.3436
  -40.5338      0.3295
  -39.6310      0.3286
  -40.0264      0.3333
  -42.3059      0.3136
  -46.8558      0.3084
  -53.2832      0.2834
  -60.7582      0.3034
  -68.1801      0.2967
  -75.1215      0.2805
  -81.2070      0.3035
  -86.4257      0.2939
  -90.8415      0.3030
   25.4125      0.4024
   21.0080      0.3958
   16.4465      0.3995
   12.9172      0.4013
   12.5694      0.4068
   16.9954      0.3721
  -24.1256      0.3663
  -32.5137      0.3282
  -41.0526      0.3348
  -49.3558      0.3165
  -56.8804      0.3296
  -63.6729      0.3266
  -69.7026      0.3125
  -74.8971      0.3018
   26.5713      0.3747
   21.2871      0.3998
   15.1121      0.4079
    7.7852      0.4075
    0.7665      0.4106
  -10.3534      0.3777
  -20.8654      0.3394
  -31.8110      0.3273
  -42.4833      0.3345
  -52.2629      0.3251
  -60.8608      0.3234
  -68.3484      0.2909
  -74.6304      0.3277
  -80.0152      0.3227
   31.6560      0.3703
   27.4623      0.3734
   22.8523      0.3744
  -18.4810      0.3750
  -16.3067      0.3564
  -19.2393      0.3390
  -27.0331      0.3074
  -37.2345      0.3034
  -47.9057      0.3028
  -57.9312      0.3042
  -66.6699      0.2910
  -74.0428      0.2808
  -80.2447      0.3070
  -85.3414      0.2978
