Phase  Observation
  -91.7032      0.1850
  -86.2520      0.1857
  -79.5829      0.1924
  -71.7148      0.1944
  -62.3721      0.2140
  -51.6072      0.2299
  -39.9384      0.2598
  -28.4268      0.2967
  -18.2712      0.3447
  -11.5061      0.3858
   11.2106      0.3908
   15.3063      0.3772
   20.1255      0.3681
   24.5489      0.3440
  -97.5640      0.1767
  -93.1629      0.1794
  -87.8990      0.1825
  -81.6946      0.1921
  -74.5606      0.2010
  -66.3418      0.2003
  -57.5360      0.2204
  -48.7458      0.2318
  -41.1366      0.2580
  -35.5423      0.2766
  -32.4758      0.2902
  -31.6513      0.2984
   32.4645      0.3111
   34.0214      0.3190
  -97.7263      0.1803
  -93.6741      0.1867
  -89.0773      0.1887
  -83.9649      0.1924
  -78.3374      0.2011
  -72.4053      0.2120
  -66.3205      0.2164
  -60.5978      0.2273
  -55.6206      0.2466
  -51.7167      0.2568
  -48.9875      0.2602
  -47.3471      0.2753
  -46.6509      0.2818
   46.6006      0.2774
  -91.1703      0.1800
  -86.0311      0.1853
  -79.8383      0.1936
  -72.5222      0.2023
  -63.8150      0.2105
  -53.7773      0.2266
  -42.6465      0.2548
  -30.9738      0.2882
  -19.5584      0.3276
   -9.1578      0.3973
    0.2170      0.4756
    7.7382      0.4239
   14.3084      0.3856
   19.8092      0.3847
  -93.6913      0.1626
  -88.7146      0.1897
  -82.7813      0.1838
  -75.5931      0.2092
  -67.2216      0.2033
  -57.4958      0.2251
  -47.0716      0.2353
  -36.8742      0.2682
  -28.3341      0.2939
  -23.0248      0.3281
  -21.6004      0.3373
   23.2174      0.3334
   26.2052      0.3526
   29.4171      0.3452
  -94.7085      0.1879
  -90.1053      0.1895
  -84.8367      0.1949
  -78.7789      0.1979
  -72.0661      0.2028
  -64.9308      0.2157
  -57.7958      0.2231
  -51.3136      0.2422
  -46.1660      0.2595
  -42.7047      0.2719
  -40.9161      0.2862
  -40.4382      0.2974
   40.8986      0.2932
   41.9518      0.3034
  -85.8815      0.1931
  -80.3738      0.1955
  -73.8754      0.2048
  -66.2965      0.2177
  -57.5892      0.2337
  -48.0256      0.2521
  -37.8407      0.2697
  -27.7015      0.3103
  -18.5148      0.3564
   11.5638      0.3870
    9.5915      0.4128
   12.7889      0.4042
   17.4066      0.3945
   21.9110      0.3701
  -88.9357      0.1882
  -83.2803      0.1944
  -76.6042      0.1991
  -68.5130      0.2050
  -58.9741      0.2189
  -48.2011      0.2360
  -36.5597      0.2734
  -25.1396      0.3053
  -15.6048      0.3504
  -10.6377      0.3809
   12.6891      0.3885
   17.6025      0.3821
   22.6272      0.3655
  -91.6629      0.1761
  -86.6732      0.1982
  -80.7868      0.2066
  -65.9127      0.2011
  -57.3251      0.2247
  -48.7990      0.2286
  -41.3056      0.2570
  -35.8409      0.2773
  -33.0136      0.2822
  -32.5049      0.2850
  -33.5458      0.2909
   35.4672      0.2975
  -96.6104      0.1787
  -92.8212      0.1898
  -88.5483      0.1922
  -83.6697      0.1973
  -78.3661      0.2063
  -72.6560      0.2140
  -66.8394      0.2174
  -61.4055      0.2305
  -56.5519      0.2456
  -52.7788      0.2528
  -50.2034      0.2652
  -48.6668      0.2729
  -48.1220      0.2828
  -48.1327      0.2858
  -82.9515      0.2001
  -77.5822      0.2097
  -71.4307      0.2147
  -64.5000      0.2295
  -56.8355      0.2446
  -48.4763      0.2610
  -39.8785      0.2769
  -31.5580      0.3093
   24.2778      0.3546
   19.0886      0.3767
   16.7779      0.4022
   17.4722      0.4015
   20.0739      0.3863
   23.4102      0.3811
  -85.9685      0.1911
  -80.3186      0.1984
  -73.7007      0.2038
  -65.7609      0.2144
  -56.4281      0.2226
  -45.8730      0.2419
  -34.4506      0.2791
  -22.7999      0.3142
  -11.7961      0.3592
    1.9204      0.4720
    6.5995      0.4045
   13.7899      0.3892
   19.8760      0.3760
   24.8992      0.3545
  -88.0761      0.1927
  -82.5657      0.1961
  -76.0218      0.1991
  -68.2413      0.2028
  -59.1659      0.2243
  -49.1640      0.2343
  -39.0389      0.2585
  -30.2021      0.2813
  -24.3595      0.3088
  -22.5502      0.3197
  -24.1052      0.3289
   27.3086      0.3348
   30.8546      0.3259
  -94.8979      0.1828
  -90.8289      0.1843
  -86.2104      0.1892
  -80.9123      0.1889
  -74.9001      0.2031
  -68.2838      0.2070
  -61.4349      0.2152
  -54.8908      0.2281
  -49.3359      0.2461
  -45.3403      0.2556
  -43.0768      0.2746
  -42.2907      0.2764
  -42.6520      0.2770
   43.6306      0.2898
