Phase  EBF_Simu  CROP_Simu
 -100.0000      0.1636      0.3243
  -99.0000      0.1664      0.3225
  -98.0000      0.1690      0.3208
  -97.0000      0.1714      0.3191
  -96.0000      0.1736      0.3176
  -95.0000      0.1756      0.3161
  -94.0000      0.1775      0.3147
  -93.0000      0.1793      0.3134
  -92.0000      0.1810      0.3121
  -91.0000      0.1826      0.3110
  -90.0000      0.1842      0.3098
  -89.0000      0.1856      0.3088
  -88.0000      0.1870      0.3079
  -87.0000      0.1884      0.3070
  -86.0000      0.1897      0.3061
  -85.0000      0.1909      0.3054
  -84.0000      0.1922      0.3047
  -83.0000      0.1934      0.3040
  -82.0000      0.1946      0.3035
  -81.0000      0.1957      0.3030
  -80.0000      0.1969      0.3025
  -79.0000      0.1980      0.3021
  -78.0000      0.1991      0.3018
  -77.0000      0.2003      0.3015
  -76.0000      0.2014      0.3012
  -75.0000      0.2025      0.3011
  -74.0000      0.2036      0.3009
  -73.0000      0.2046      0.3008
  -72.0000      0.2057      0.3008
  -71.0000      0.2068      0.3008
  -70.0000      0.2079      0.3009
  -69.0000      0.2090      0.3010
  -68.0000      0.2101      0.3011
  -67.0000      0.2112      0.3013
  -66.0000      0.2124      0.3016
  -65.0000      0.2135      0.3019
  -64.0000      0.2146      0.3022
  -63.0000      0.2157      0.3025
  -62.0000      0.2169      0.3029
  -61.0000      0.2180      0.3033
  -60.0000      0.2192      0.3038
  -59.0000      0.2205      0.3043
  -58.0000      0.2219      0.3049
  -57.0000      0.2235      0.3055
  -56.0000      0.2252      0.3062
  -55.0000      0.2270      0.3069
  -54.0000      0.2288      0.3077
  -53.0000      0.2307      0.3084
  -52.0000      0.2327      0.3093
  -51.0000      0.2347      0.3101
  -50.0000      0.2368      0.3110
  -49.0000      0.2389      0.3119
  -48.0000      0.2410      0.3129
  -47.0000      0.2433      0.3139
  -46.0000      0.2455      0.3149
  -45.0000      0.2478      0.3160
  -44.0000      0.2501      0.3170
  -43.0000      0.2525      0.3181
  -42.0000      0.2550      0.3193
  -41.0000      0.2574      0.3204
  -40.0000      0.2599      0.3216
  -39.0000      0.2625      0.3228
  -38.0000      0.2651      0.3240
  -37.0000      0.2677      0.3253
  -36.0000      0.2703      0.3266
  -35.0000      0.2731      0.3279
  -34.0000      0.2758      0.3292
  -33.0000      0.2787      0.3306
  -32.0000      0.2815      0.3319
  -31.0000      0.2844      0.3333
  -30.0000      0.2873      0.3347
  -29.0000      0.2903      0.3362
  -28.0000      0.2933      0.3376
  -27.0000      0.2964      0.3391
  -26.0000      0.2995      0.3406
  -25.0000      0.3027      0.3421
  -24.0000      0.3059      0.3436
  -23.0000      0.3091      0.3451
  -22.0000      0.3124      0.3467
  -21.0000      0.3158      0.3482
  -20.0000      0.3193      0.3498
  -19.0000      0.3228      0.3514
  -18.0000      0.3263      0.3530
  -17.0000      0.3300      0.3546
  -16.0000      0.3338      0.3563
  -15.0000      0.3377      0.3579
  -14.0000      0.3418      0.3596
  -13.0000      0.3461      0.3613
  -12.0000      0.3506      0.3630
  -11.0000      0.3555      0.3648
  -10.0000      0.3608      0.3667
   -9.0000      0.3667      0.3688
   -8.0000      0.3733      0.3712
   -7.0000      0.3809      0.3740
   -6.0000      0.3898      0.3775
   -5.0000      0.4004      0.3823
   -4.0000      0.4134      0.3890
   -3.0000      0.4295      0.3992
   -2.0000      0.4499      0.4149
   -1.0000      0.4760      0.4399
    0.0000      0.5098      0.4804
    1.0000      0.4808      0.4434
    2.0000      0.4589      0.4212
    3.0000      0.4422      0.4080
    4.0000      0.4295      0.4004
    5.0000      0.4196      0.3960
    6.0000      0.4119      0.3937
    7.0000      0.4058      0.3927
    8.0000      0.4010      0.3924
    9.0000      0.3969      0.3925
   10.0000      0.3936      0.3929
   11.0000      0.3907      0.3935
   12.0000      0.3881      0.3942
   13.0000      0.3857      0.3950
   14.0000      0.3836      0.3957
   15.0000      0.3815      0.3965
   16.0000      0.3795      0.3973
   17.0000      0.3775      0.3982
   18.0000      0.3755      0.3990
   19.0000      0.3735      0.3998
   20.0000      0.3715      0.4007
   21.0000      0.3695      0.4015
   22.0000      0.3674      0.4024
   23.0000      0.3653      0.4033
   24.0000      0.3632      0.4042
   25.0000      0.3610      0.4051
   26.0000      0.3589      0.4060
   27.0000      0.3567      0.4070
   28.0000      0.3545      0.4080
   29.0000      0.3523      0.4090
   30.0000      0.3502      0.4101
   31.0000      0.3482      0.4113
   32.0000      0.3465      0.4125
   33.0000      0.3450      0.4137
   34.0000      0.3442      0.4152
   35.0000      0.3447      0.4168
   36.0000      0.3463      0.4186
   37.0000      0.3478      0.4205
   38.0000      0.3494      0.4225
   39.0000      0.3510      0.4245
   40.0000      0.3526      0.4266
