Phase  Observation
   30.9022      0.0470
   26.5871      0.0500
   22.0106      0.0460
   17.9082      0.0470
   15.5722      0.0510
   17.0350      0.0500
   22.2664      0.0380
  -29.6429      0.0400
  -37.6769      0.0340
  -45.6720      0.0360
  -53.1039      0.0420
  -59.8655      0.0390
  -65.8514      0.0420
  -71.0253      0.0470
  -52.1521      0.0400
  -51.1640      0.0420
  -50.4497      0.0390
  -50.3780      0.0380
  -51.0873      0.0390
  -53.1178      0.0370
  -56.4329      0.0360
  -60.8550      0.0340
  -66.0526      0.0300
  -71.5670      0.0340
  -76.9722      0.0330
  -81.8829      0.0290
  -86.1997      0.0350
  -90.1050      0.0360
  -47.4199      0.0460
  -46.1484      0.0440
  -45.4160      0.0440
  -45.5096      0.0390
  -46.8882      0.0380
  -50.0420      0.0350
  -54.8302      0.0350
  -60.7472      0.0320
  -67.2138      0.0310
  -73.4729      0.0370
  -79.2994      0.0380
  -84.3380      0.0400
  -88.8078      0.0440
  -92.6262      0.0470
   36.6381      0.0440
   32.9509      0.0430
  -29.1417      0.0440
  -25.6162      0.0440
  -23.6304      0.0400
  -25.1558      0.0390
  -30.9221      0.0370
  -39.6057      0.0330
  -49.4542      0.0340
  -58.8526      0.0330
  -67.3190      0.0280
  -74.4554      0.0300
  -80.4718      0.0330
  -85.4647      0.0350
   43.9180      0.0480
  -42.1120      0.0450
  -40.5338      0.0440
  -39.6310      0.0410
  -40.0264      0.0370
  -42.3059      0.0370
  -46.8558      0.0330
  -53.2832      0.0350
  -60.7582      0.0290
  -68.1801      0.0300
  -75.1215      0.0350
  -81.2070      0.0330
  -86.4257      0.0370
  -90.8415      0.0410
   25.4125      0.0700
   21.0080      0.0680
   16.4465      0.0700
   12.9172      0.0720
   12.5694      0.0660
   16.9954      0.0620
  -24.1256      0.0540
  -32.5137      0.0540
  -41.0526      0.0450
  -49.3558      0.0460
  -56.8804      0.0410
  -63.6729      0.0410
  -69.7026      0.0430
  -74.8971      0.0460
   26.5713      0.0710
   21.2871      0.0630
   15.1121      0.0610
    7.7852      0.0680
    0.7665      0.0920
  -10.3534      0.0560
  -20.8654      0.0500
  -31.8110      0.0460
  -42.4833      0.0380
  -52.2629      0.0360
  -60.8608      0.0370
  -68.3484      0.0400
  -74.6304      0.0350
  -80.0152      0.0380
   31.6560      0.0570
   27.4623      0.0520
   22.8523      0.0490
  -18.4810      0.0510
  -16.3067      0.0510
  -19.2393      0.0460
  -27.0331      0.0450
  -37.2345      0.0360
  -47.9057      0.0340
  -57.9312      0.0320
  -66.6699      0.0340
  -74.0428      0.0360
  -80.2447      0.0350
  -85.3414      0.0400
