Phase  Observation
  -91.7032      0.2200
  -86.2520      0.2190
  -79.5829      0.2240
  -71.7148      0.2260
  -62.3721      0.2440
  -51.6072      0.2600
  -39.9384      0.2990
  -28.4268      0.3380
  -18.2712      0.3970
  -11.5061      0.4490
   11.2106      0.4610
   15.3063      0.4490
   20.1255      0.4380
   24.5489      0.4220
  -97.5640      0.2150
  -93.1629      0.2160
  -87.8990      0.2140
  -81.6946      0.2130
  -74.5606      0.2220
  -66.3418      0.2320
  -57.5360      0.2540
  -48.7458      0.2690
  -41.1366      0.2990
  -35.5423      0.3230
  -32.4758      0.3420
  -31.6513      0.3520
   32.4645      0.3700
   34.0214      0.3780
  -97.7263      0.2220
  -93.6741      0.2200
  -89.0773      0.2220
  -83.9649      0.2240
  -78.3374      0.2310
  -72.4053      0.2420
  -66.3205      0.2500
  -60.5978      0.2610
  -55.6206      0.2840
  -51.7167      0.2960
  -48.9875      0.3030
  -47.3471      0.3200
  -46.6509      0.3300
   46.6006      0.3290
  -91.1703      0.2200
  -86.0311      0.2220
  -79.8383      0.2270
  -72.5222      0.2340
  -63.8150      0.2440
  -53.7773      0.2620
  -42.6465      0.2940
  -30.9738      0.3330
  -19.5584      0.3850
   -9.1578      0.4710
    0.2170      0.6140
    7.7382      0.5100
   14.3084      0.4660
   19.8092      0.4600
  -93.6913      0.2200
  -88.7146      0.2230
  -82.7813      0.2170
  -75.5931      0.2190
  -67.2216      0.2350
  -57.4958      0.2480
  -47.0716      0.2690
  -36.8742      0.3040
  -28.3341      0.3370
  -23.0248      0.3750
  -21.6004      0.3930
   23.2174      0.3960
   26.2052      0.4050
   29.4171      0.4010
  -94.7085      0.2160
  -90.1053      0.2140
  -84.8367      0.2230
  -78.7789      0.2260
  -72.0661      0.2310
  -64.9308      0.2440
  -57.7958      0.2550
  -51.3136      0.2760
  -46.1660      0.2970
  -42.7047      0.3130
  -40.9161      0.3310
  -40.4382      0.3440
   40.8986      0.3450
   41.9518      0.3570
  -85.8815      0.2350
  -80.3738      0.2340
  -73.8754      0.2400
  -66.2965      0.2530
  -57.5892      0.2710
  -48.0256      0.2930
  -37.8407      0.3160
  -27.7015      0.3640
  -18.5148      0.4210
   11.5638      0.4640
    9.5915      0.4970
   12.7889      0.4900
   17.4066      0.4750
   21.9110      0.4520
  -88.9357      0.2180
  -83.2803      0.2260
  -76.6042      0.2290
  -68.5130      0.2350
  -58.9741      0.2490
  -48.2011      0.2680
  -36.5597      0.3110
  -25.1396      0.3520
  -15.6048      0.4080
  -10.6377      0.4510
   12.6891      0.4570
   17.6025      0.4470
   22.6272      0.4320
  -91.6629      0.2210
  -86.6732      0.2210
  -80.7868      0.2220
  -65.9127      0.2380
  -57.3251      0.2530
  -48.7990      0.2710
  -41.3056      0.2980
  -35.8409      0.3220
  -33.0136      0.3390
  -32.5049      0.3520
  -33.5458      0.3630
   35.4672      0.3730
  -96.6104      0.2220
  -92.8212      0.2300
  -88.5483      0.2290
  -83.6697      0.2290
  -78.3661      0.2380
  -72.6560      0.2440
  -66.8394      0.2510
  -61.4055      0.2660
  -56.5519      0.2830
  -52.7788      0.2920
  -50.2034      0.3080
  -48.6668      0.3210
  -48.1220      0.3310
  -48.1327      0.3340
  -82.9515      0.2370
  -77.5822      0.2450
  -71.4307      0.2500
  -64.5000      0.2650
  -56.8355      0.2820
  -48.4763      0.3020
  -39.8785      0.3250
  -31.5580      0.3630
   24.2778      0.4140
   19.0886      0.4450
   16.7779      0.4760
   17.4722      0.4770
   20.0739      0.4650
   23.4102      0.4580
  -85.9685      0.2330
  -80.3186      0.2370
  -73.7007      0.2390
  -65.7609      0.2480
  -56.4281      0.2580
  -45.8730      0.2810
  -34.4506      0.3220
  -22.7999      0.3680
  -11.7961      0.4290
    1.9204      0.5740
    6.5995      0.4920
   13.7899      0.4680
   19.8760      0.4460
   24.8992      0.4260
  -88.0761      0.2260
  -82.5657      0.2260
  -76.0218      0.2290
  -68.2413      0.2310
  -59.1659      0.2490
  -49.1640      0.2680
  -39.0389      0.2960
  -30.2021      0.3260
  -24.3595      0.3590
  -22.5502      0.3770
  -24.1052      0.3880
   27.3086      0.3940
   30.8546      0.3850
  -94.8979      0.2360
  -90.8289      0.2310
  -86.2104      0.2310
  -80.9123      0.2290
  -74.9001      0.2400
  -68.2838      0.2440
  -61.4349      0.2540
  -54.8908      0.2670
  -49.3359      0.2870
  -45.3403      0.3000
  -43.0768      0.3210
  -42.2907      0.3280
  -42.6520      0.3320
   43.6306      0.3450
