Phase  EBF_Simu  CROP_Simu
 -100.0000      0.2030      0.3987
  -99.0000      0.2050      0.3956
  -98.0000      0.2068      0.3926
  -97.0000      0.2084      0.3897
  -96.0000      0.2099      0.3870
  -95.0000      0.2112      0.3844
  -94.0000      0.2125      0.3819
  -93.0000      0.2136      0.3796
  -92.0000      0.2147      0.3774
  -91.0000      0.2158      0.3754
  -90.0000      0.2168      0.3735
  -89.0000      0.2177      0.3716
  -88.0000      0.2186      0.3699
  -87.0000      0.2196      0.3684
  -86.0000      0.2205      0.3669
  -85.0000      0.2213      0.3655
  -84.0000      0.2222      0.3643
  -83.0000      0.2231      0.3632
  -82.0000      0.2240      0.3621
  -81.0000      0.2249      0.3612
  -80.0000      0.2258      0.3603
  -79.0000      0.2267      0.3596
  -78.0000      0.2277      0.3589
  -77.0000      0.2286      0.3584
  -76.0000      0.2296      0.3579
  -75.0000      0.2306      0.3575
  -74.0000      0.2316      0.3572
  -73.0000      0.2326      0.3570
  -72.0000      0.2337      0.3569
  -71.0000      0.2348      0.3568
  -70.0000      0.2359      0.3568
  -69.0000      0.2370      0.3569
  -68.0000      0.2382      0.3570
  -67.0000      0.2394      0.3573
  -66.0000      0.2406      0.3576
  -65.0000      0.2418      0.3579
  -64.0000      0.2431      0.3584
  -63.0000      0.2444      0.3589
  -62.0000      0.2457      0.3594
  -61.0000      0.2470      0.3600
  -60.0000      0.2484      0.3607
  -59.0000      0.2499      0.3615
  -58.0000      0.2516      0.3623
  -57.0000      0.2535      0.3632
  -56.0000      0.2555      0.3641
  -55.0000      0.2576      0.3652
  -54.0000      0.2597      0.3663
  -53.0000      0.2620      0.3674
  -52.0000      0.2643      0.3686
  -51.0000      0.2667      0.3698
  -50.0000      0.2691      0.3711
  -49.0000      0.2717      0.3725
  -48.0000      0.2743      0.3739
  -47.0000      0.2769      0.3753
  -46.0000      0.2796      0.3768
  -45.0000      0.2824      0.3784
  -44.0000      0.2852      0.3799
  -43.0000      0.2881      0.3816
  -42.0000      0.2910      0.3832
  -41.0000      0.2940      0.3849
  -40.0000      0.2970      0.3867
  -39.0000      0.3001      0.3884
  -38.0000      0.3033      0.3903
  -37.0000      0.3064      0.3921
  -36.0000      0.3097      0.3940
  -35.0000      0.3130      0.3959
  -34.0000      0.3164      0.3979
  -33.0000      0.3198      0.3999
  -32.0000      0.3233      0.4019
  -31.0000      0.3268      0.4040
  -30.0000      0.3303      0.4060
  -29.0000      0.3340      0.4081
  -28.0000      0.3376      0.4103
  -27.0000      0.3414      0.4124
  -26.0000      0.3451      0.4146
  -25.0000      0.3490      0.4168
  -24.0000      0.3529      0.4191
  -23.0000      0.3568      0.4213
  -22.0000      0.3608      0.4236
  -21.0000      0.3649      0.4259
  -20.0000      0.3691      0.4282
  -19.0000      0.3734      0.4305
  -18.0000      0.3777      0.4329
  -17.0000      0.3822      0.4352
  -16.0000      0.3869      0.4376
  -15.0000      0.3917      0.4400
  -14.0000      0.3967      0.4424
  -13.0000      0.4021      0.4449
  -12.0000      0.4078      0.4475
  -11.0000      0.4140      0.4501
  -10.0000      0.4208      0.4529
   -9.0000      0.4285      0.4560
   -8.0000      0.4373      0.4594
   -7.0000      0.4476      0.4636
   -6.0000      0.4599      0.4689
   -5.0000      0.4749      0.4761
   -4.0000      0.4934      0.4865
   -3.0000      0.5167      0.5021
   -2.0000      0.5465      0.5263
   -1.0000      0.5851      0.5650
    0.0000      0.6354      0.6275
    1.0000      0.5917      0.5702
    2.0000      0.5588      0.5359
    3.0000      0.5340      0.5155
    4.0000      0.5152      0.5037
    5.0000      0.5009      0.4971
    6.0000      0.4900      0.4937
    7.0000      0.4816      0.4922
    8.0000      0.4751      0.4918
    9.0000      0.4699      0.4922
   10.0000      0.4658      0.4930
   11.0000      0.4625      0.4941
   12.0000      0.4596      0.4953
   13.0000      0.4572      0.4966
   14.0000      0.4551      0.4980
   15.0000      0.4531      0.4994
   16.0000      0.4513      0.5009
   17.0000      0.4496      0.5024
   18.0000      0.4479      0.5038
   19.0000      0.4462      0.5053
   20.0000      0.4446      0.5068
   21.0000      0.4429      0.5084
   22.0000      0.4412      0.5099
   23.0000      0.4395      0.5115
   24.0000      0.4378      0.5131
   25.0000      0.4360      0.5148
   26.0000      0.4343      0.5165
   27.0000      0.4325      0.5182
   28.0000      0.4308      0.5200
   29.0000      0.4291      0.5218
   30.0000      0.4275      0.5237
   31.0000      0.4260      0.5257
   32.0000      0.4248      0.5277
   33.0000      0.4240      0.5299
   34.0000      0.4238      0.5323
   35.0000      0.4251      0.5349
   36.0000      0.4274      0.5377
   37.0000      0.4298      0.5407
   38.0000      0.4322      0.5437
   39.0000      0.4347      0.5469
   40.0000      0.4373      0.5502
